Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
言葉の定義をそろえましょう。,Let's line up our definitions.,定義,言葉【ことば】の定義【ていぎ】をそろえましょう。,Work - Docs,polite,definition,"<ruby class=""vocab"">定義<rt><span class=""pitch-h"">て</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぎ</span></rt></ruby>"
同じ機能を外部にも提供しています。,We offer the same feature externally too.,提供,同【おな】じ機能【きのう】を外部【がいぶ】にも提供【ていきょう】しています。,Work - System,polite,provision,"<ruby class=""vocab"">提供<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">きょ</span><span class=""pitch-h"">う</span></rt></ruby>"
来週以降に対応します。,I'll handle it from next week onwards.,以降,来週【らいしゅう】以降【いこう】に対応【たいおう】します。,Work - Schedule,polite,from ... onwards,"<ruby class=""vocab"">以降<rt><span class=""pitch-h"">い</span><span class=""pitch-l"">こ</span><span class=""pitch-l"">う</span></rt></ruby>"
当日は少し遅れます。,I'll be a little late on the day.,当日,当日【とうじつ】は少【すこ】し遅【おく】れます。,Work - Schedule,polite,the day itself,"<ruby class=""vocab"">当日<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">う</span><span class=""pitch-h"">じ</span><span class=""pitch-h"">つ</span></rt></ruby>"
指摘のとおり直しました。,I fixed it as you pointed out.,指摘,指摘【してき】のとおり直【なお】しました。,Work - Quality,polite,pointing out,"<ruby class=""vocab"">指摘<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">て</span><span class=""pitch-h"">き</span></rt></ruby>"
あとで編集しておきます。,I'll edit it afterwards.,編集,あとで編集【へんしゅう】しておきます。,Work - Docs,polite,editing,"<ruby class=""vocab"">編集<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">しゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
まとめて一括で登録します。,I'll register them all in one go.,一括,まとめて一括【いっかつ】で登録【とうろく】します。,Work - Process,polite,in one batch,"<ruby class=""vocab"">一括<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">か</span><span class=""pitch-h"">つ</span></rt></ruby>"
少しずつ改善しています。,It's getting better bit by bit.,改善,少【すこ】しずつ改善【かいぜん】しています。,Work - Quality,polite,improvement,"<ruby class=""vocab"">改善<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ぜ</span><span class=""pitch-h"">ん</span></rt></ruby>"
必要な書類をそろえました。,I've gathered the necessary documents.,書類,必要【ひつよう】な書類【しょるい】をそろえました。,Work - Docs,polite,document,"<ruby class=""vocab"">書類<rt><span class=""pitch-l"">しょ</span><span class=""pitch-h"">る</span><span class=""pitch-h"">い</span></rt></ruby>"
準備はできています。,Everything's ready.,準備,準備【じゅんび】はできています。,Work - Process,polite,preparation,"<ruby class=""vocab"">準備<rt><span class=""pitch-h"">じゅ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">び</span></rt></ruby>"
仕組み自体を見直したいです。,I want to rethink the setup itself.,自体,仕組【しく】み自体【じたい】を見直【みなお】したいです。,Work - Scope,polite,itself,"<ruby class=""vocab"">自体<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">た</span><span class=""pitch-h"">い</span></rt></ruby>"
一部だけ直しました。,I only fixed part of it.,一部,一部【いちぶ】だけ直【なお】しました。,Work - Scope,polite,a part,"<ruby class=""vocab"">一部<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ち</span><span class=""pitch-l"">ぶ</span></rt></ruby>"
今回はここまでにします。,Let's stop here for this round.,今回,今回【こんかい】はここまでにします。,Work - Schedule,polite,this time,"<ruby class=""vocab"">今回<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">か</span><span class=""pitch-l"">い</span></rt></ruby>"
個人の名前は出さないでください。,Please don't include personal names.,個人,個人【こじん】の名前【なまえ】は出【だ】さないでください。,Work - People,polite,individual,"<ruby class=""vocab"">個人<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">じ</span><span class=""pitch-l"">ん</span></rt></ruby>"
前の版を参照してください。,Please refer to the previous version.,参照,前【まえ】の版【ばん】を参照【さんしょう】してください。,Work - Docs,polite,reference,"<ruby class=""vocab"">参照<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>"
平均を見ると少し遅いです。,On average it's a little slow.,平均,平均【へいきん】を見【み】ると少【すこ】し遅【おそ】いです。,Work - Data,polite,average,"<ruby class=""vocab"">平均<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">き</span><span class=""pitch-h"">ん</span></rt></ruby>"
明日の朝会は欠席します。,I'll miss tomorrow's stand-up.,欠席,明日【あす】の朝会【あさかい】は欠席【けっせき】します。,Work - Comms,polite,absence,"<ruby class=""vocab"">欠席<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">き</span></rt></ruby>"
今は正常に動いています。,It's working normally now.,正常,今【いま】は正常【せいじょう】に動【うご】いています。,Work - Quality,polite,normal,"<ruby class=""vocab"">正常<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">じょ</span><span class=""pitch-h"">う</span></rt></ruby>"
現状を共有しておきます。,I'll share where things stand.,現状,現状【げんじょう】を共有【きょうゆう】しておきます。,Work - Comms,polite,current state,"<ruby class=""vocab"">現状<rt><span class=""pitch-l"">げ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">じょ</span><span class=""pitch-h"">う</span></rt></ruby>"
同じ問題が発生しています。,The same problem is occurring.,発生,同【おな】じ問題【もんだい】が発生【はっせい】しています。,Work - Problem,polite,occurrence,"<ruby class=""vocab"">発生<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
直接聞いた方が早いです。,It's quicker to ask directly.,直接,直接【ちょくせつ】聞【き】いた方【ほう】が早【はや】いです。,Work - Comms,polite,directly,"<ruby class=""vocab"">直接<rt><span class=""pitch-l"">ちょ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">つ</span></rt></ruby>"
