tier,row,sentence,expected,transcript,kana_expected,kana_transcript,edit_distance,length_delta,status
2,98,このIPアドレスをホワイトリストに追加してください。,このアイピーアドレスをホワイトリストに追加してください。,この ip アドレスをホワイトリストに追加してください,コノアイピーアドレスヲホワイトリストニツイカシテクダサイ,コノアドレスヲホワイトリストニツイカシテクダサイ,4,4,LIKELY_ELISION
2,106,テーブルには数百万の行があります。,テーブルには数百万の行があります。,テーブルには数百万の業があります,テーブルニハスウヒャクマンノギョウガアリマス,テーブルニハスウヒャクマンノゴウガアリマス,2,1,MISMATCH
2,108,メールフィールドは一意であるべきです。,メールフィールドは一意であるべきです。,メールフィールドはチーであるべきです,メールフィールドハイチイデアルベキデス,メールフィールドハチーデアルベキデス,2,1,MISMATCH
2,113,クエリを高速化するためにインデックスを追加してください。,クエリを高速化するためにインデックスを追加してください。,クエリーを高速化するためにインデックスを追加してください,クエリヲコウソクカスルタメニインデックスヲツイカシテクダサイ,クエリーヲコウソクカスルタメニインデックスヲツイカシテクダサイ,1,-1,MISMATCH
2,121,内部結合は一致しない行を除外します。,内部結合は一致しない行を除外します。,内部結合は、血しない行を除外します。,ナイブケツゴウハイッチシナイギョウヲジョガイシマス,ナイブケツゴウハチシナイギョウヲジョガイシマス,2,2,LIKELY_ELISION
2,134,行が別のクエリによってロックされています。,行が別のクエリによってロックされています。,業が別のクエリーによってロックされています,ギョウガベツノクエリニヨッテロックサレテイマス,ゴウガベツノクエリーニヨッテロックサレテイマス,3,0,MISMATCH
2,136,レポートにはレプリカから読み取ってください。,レポートにはレプリカから読み取ってください。,レポートにはエプリカから読み取ってください,レポートニハレプリカカラヨミトッテクダサイ,レポートニハエプリカカラヨミトッテクダサイ,1,0,MISMATCH
2,138,プライマリが停止したらレプリカにフェイルオーバーしてください。,プライマリが停止したらレプリカにフェイルオーバーしてください。,プライマリーが停止したらレプリカにフェールオーバーしてください,プライマリガテイシシタラレプリカニフェイルオーバーシテクダサイ,プライマリーガテイシシタラレプリカニフェールオーバーシテクダサイ,2,-1,MISMATCH
2,143,ORMはクエリを簡単にします。,オーアールエムはクエリを簡単にします。,ORMはクエリを簡単にします,オーアールエムハクエリヲカンタンニシマス,ハクエリヲカンタンニシマス,7,7,LIKELY_ELISION
2,164,ティアダウンはテスト後にクリーンアップします。,ティアダウンはテスト後にクリーンアップします。,ティアダウンはストゴにクリーンアップします,ティアダウンハテストゴニクリーンアップシマス,ティアダウンハストゴニクリーンアップシマス,1,1,MISMATCH
2,169,このテストは不安定です。修正してください。,このテストは不安定です。修正してください。,このテストは不安定です修正してください,コノテストハフアンテイデスシュウセイシテクダサイ,コノテストハフアンテイデスシュウセイシテクダサイ,0,0,OK
2,174,まず簡単なサニティチェックをしてください。,まず簡単なサニティチェックをしてください。,まず簡単なサニティチェックをしてください。,マズカンタンナサニティチェックヲシテクダサイ,マズカンタンナサニティチェックヲシテクダサイ,0,0,OK
2,177,境界条件をテストしてください。,境界条件をテストしてください。,境界条件をテストしてください,キョウカイジョウケンヲテストシテクダサイ,キョウカイジョウケンヲテストシテクダサイ,0,0,OK
2,178,エラー用のネガティブテストを追加してください。,エラー用のネガティブテストを追加してください。,エラー用のネガティブテストを追加してください,エラーヨウノネガティブテストヲツイカシテクダサイ,エラーヨウノネガティブテストヲツイカシテクダサイ,0,0,OK
2,181,パフォーマンステストはレスポンス時間を確認します。,パフォーマンステストはレスポンス時間を確認します。,パフォーマンステストは、スポンス時間を確認します。,パフォーマンステストハレスポンスジカンヲカクニンシマス,パフォーマンステストハスポンスジカンヲカクニンシマス,1,1,MISMATCH
2,184,まずステージングでテストしてください。,まずステージングでテストしてください。,まずステージングでテストしてください,マズステージングデテストシテクダサイ,マズステージングデテストシテクダサイ,0,0,OK
2,185,本番でテストしないでください。,本番でテストしないでください。,本番でテストしないでください,ホンバンデテストシナイデクダサイ,ホンバンデテストシナイデクダサイ,0,0,OK
2,189,そのコミット後にビルドが壊れました。,そのコミット後にビルドが壊れました。,そのコミット後にビルドが壊れました,ソノコミットゴニビルドガコワレマシタ,ソノコミットゴニビルドガコワレマシタ,0,0,OK
3,1,問題なし！リリースOK。,問題なし！リリースオーケー。,問題なし リリースオーケー,モンダイナシリリースオーケー,モンダイナシリリースオーケー,0,0,OK
3,16,このPRは古くなっています。更新してください。,このピーアールは古くなっています。更新してください。,この PR は狂くなっています更新してください,コノピーアールハフルクナッテイマスコウシンシテクダサイ,コノハキョウクナッテイマスコウシンシテクダサイ,8,4,LIKELY_ELISION
3,26,エレガントな解決策ですね。,エレガントな解決策ですね。,エレガントな解決策ですね,エレガントナカイケツサクデスネ,エレガントナカイケツサクデスネ,0,0,OK
3,40,将来のクリーンアップのためにTODOを残してください。,将来のクリーンアップのためにトゥードゥーを残してください。,将来のクリーンアップのためにツールを残してください,ショウライノクリーンアップノタメニトゥードゥーヲノコシテクダサイ,ショウライノクリーンアップノタメニツールヲノコシテクダサイ,5,3,LIKELY_ELISION
3,43,ここでのトレードオフは何ですか？,ここでのトレードオフは何ですか？,ここでのトレードオフは何ですか,ココデノトレードオフハナンデスカ,ココデノトレードオフハナンデスカ,0,0,OK
3,44,パフォーマンスの懸念はありますか？,パフォーマンスの懸念は、ありますか？,パフォーマンスの懸念はありますか,パフォーマンスノケネンハアリマスカ,パフォーマンスノケネンハアリマスカ,0,0,OK
3,58,データアクセス層を分離してください。,データアクセス層を分離してください。,データアクセスを分離してください,データアクセスソウヲブンリシテクダサイ,データアクセスヲブンリシテクダサイ,2,2,LIKELY_ELISION
3,62,継承より合成を優先してください。,継承より合成を優先してください。,軽症より合成を優先してください。,ケイショウヨリゴウセイヲユウセンシテクダサイ,ケイショウヨリゴウセイヲユウセンシテクダサイ,0,0,OK
3,80,低結合度が望ましいです。,低結合度が望ましいです。,低血高度が望ましいです,テイケツゴウドガノゾマシイデス,テイケツコウドガノゾマシイデス,1,0,MISMATCH
3,83,SOLID原則を適用してください。,ソリッド原則を適用してください。,ソリット原則を適用してください,ソリッドゲンソクヲテキヨウシテクダサイ,ソリットゲンソクヲテキヨウシテクダサイ,1,0,MISMATCH
3,84,自分を繰り返さないでください。,自分を繰り返さないでください。,自分を繰り返さないでください,ジブンヲクリカエサナイデクダサイ,ジブンヲクリカエサナイデクダサイ,0,0,OK
3,86,必要になるまで作らないでください。,必要になるまで作らないでください。,必要になるまで作らないでください,ヒツヨウニナルマデツクラナイデクダサイ,ヒツヨウニナルマデツクラナイデクダサイ,0,0,OK
3,89,既存のライブラリを使ってください。,きそんのライブラリを使ってください。,既存のライブラリーを使ってください,キソンノライブラリヲツカッテクダサイ,キソンノライブラリーヲツカッテクダサイ,1,-1,MISMATCH
3,91,API設計をレビューしましょう。,エーピーアイ設計をレビューしましょう。,API設計をレビューしましょう。,エーピーアイセッケイヲレビューシマショウ,セッケイヲレビューシマショウ,6,6,LIKELY_ELISION
3,98,マイグレーションを慎重に計画してください。,マイグレーションを慎重に計画してください。,マイグレーションを慎重に計画してください,マイグレーションヲシンチョウニケイカクシテクダサイ,マイグレーションヲシンチョウニケイカクシテクダサイ,0,0,OK
3,100,これはグリーンフィールドプロジェクトです。,これはグリーンフィールドプロジェクトです。,これはグリーンフィールドプロジェクトです,コレハグリーンフィールドプロジェクトデス,コレハグリーンフィールドプロジェクトデス,0,0,OK
3,102,クライアントはAPIリクエストを行います。,クライアントはエーピーアイリクエストを行います。,クライアントは APIリクエストを行います,クライアントハエーピーアイリクエストヲオコナイマス,クライアントハリクエストヲオコナイマス,6,6,LIKELY_ELISION
3,108,ポッドがクラッシュし続けています。,ポッドがクラッシュし続けています。,ポットはクラッシュし続けています,ポッドガクラッシュシツヅケテイマス,ポットハクラッシュシツヅケテイマス,2,0,MISMATCH
3,111,新しいデプロイメントを作成してください。,新しいデプロイメントを作成してください。,新しいデプロイメントを作成してください,アタラシイデプロイメントヲサクセイシテクダサイ,アタラシイデプロイメントヲサクセイシテクダサイ,0,0,OK
3,117,永続化のためにボリュームをマウントしてください。,永続化のためにボリュームをマウントしてください。,映像化のためにボリュームをマウントしてください,エイゾクカノタメニボリュームヲマウントシテクダサイ,エイゾウカノタメニボリュームヲマウントシテクダサイ,1,0,MISMATCH
3,119,パイプラインがテストステージで失敗しました。,パイプラインがテストステージで失敗しました。,タイプラインがテストステージで失敗しました,パイプラインガテストステージデシッパイシマシタ,タイプラインガテストステージデシッパイシマシタ,1,0,MISMATCH
3,120,新しいビルドをトリガーしてください。,新しいビルドをトリガーしてください。,新しいビルドをトリガーしてください,アタラシイビルドヲトリガーシテクダサイ,アタラシイビルドヲトリガーシテクダサイ,0,0,OK
3,122,新しいリリースを作成してください。,新しいリリースを作成してください。,新しいリリースを作成してください,アタラシイリリースヲサクセイシテクダサイ,アタラシイリリースヲサクセイシテクダサイ,0,0,OK
3,127,フィーチャーフラグの後ろに隠してください。,フィーチャーフラグの後ろに隠してください。,フィーチャーフラグの後ろに隠してください。,フィーチャーフラグノウシロニカクシテクダサイ,フィーチャーフラグノウシロニカクシテクダサイ,0,0,OK
3,138,設定ファイルを更新してください。,設定ファイルを更新してください。,設定ファイルを更新してください。,セッテイファイルヲコウシンシテクダサイ,セッテイファイルヲコウシンシテクダサイ,0,0,OK
3,141,まずステージングにデプロイしてください。,まずステージングにデプロイしてください。,まずステージングにデプロイしてください,マズステージングニデプロイシテクダサイ,マズステージングニデプロイシテクダサイ,0,0,OK
3,144,まずローカルで実行してください。,まずローカルで実行してください。,まずローカルで実行してください,マズローカルデジッコウシテクダサイ,マズローカルデジッコウシテクダサイ,0,0,OK
3,148,ファイアウォールルールを確認してください。,ファイアウォールルールを確認してください。,ファイアウォールルールを確認してください,ファイアウォールルールヲカクニンシテクダサイ,ファイアウォールルールヲカクニンシテクダサイ,0,0,OK
3,152,ファイルをS3に保存してください。,ファイルをエススリーに保存してください。,ファイルをS3に保存してください。,ファイルヲエススリーニホゾンシテクダサイ,ファイルヲニホゾンシテクダサイ,5,5,LIKELY_ELISION
3,156,RedisにはElastiCacheを使ってください。,レディスにはエラスティキャッシュを使ってください。,レディスにはラスティキャッシュを使ってください。,レディスニハエラスティキャッシュヲツカッテクダサイ,レディスニハラスティキャッシュヲツカッテクダサイ,1,1,MISMATCH
3,158,Route 53でDNSを設定してください。,ルート 53でディーエヌエスを設定してください。,ルート53でENSを設定してください。,ルートデディーエヌエスヲセッテイシテクダサイ,ルートデヲセッテイシテクダサイ,7,7,LIKELY_ELISION
3,160,メッセージキューにはSQSを使ってください。,メッセージキューにはエスキューエスを使ってください。,メッセージ9には、sqsを使ってください。,メッセージキューニハエスキューエスヲツカッテクダサイ,メッセージニハヲツカッテクダサイ,10,10,LIKELY_ELISION
3,162,コンテナをECSにデプロイしています。,コンテナをイーシーエスにデプロイしています。,コンテナを ECS にデプロイしています,コンテナヲイーシーエスニデプロイシテイマス,コンテナヲニデプロイシテイマス,6,6,LIKELY_ELISION
3,165,このためにIAMロールを作成してください。,このためにアイエーエムロールを作成してください。,このためにIMロールを作成してください,コノタメニアイエーエムロールヲサクセイシテクダサイ,コノタメニロールヲサクセイシテクダサイ,6,6,LIKELY_ELISION
3,189,ユーザー認証にはCognitoを使ってください。,ユーザー認証にはコグニートを使ってください。,ユーザー認証にはウニートを使ってください,ユーザーニンショウニハコグニートヲツカッテクダサイ,ユーザーニンショウニハウニートヲツカッテクダサイ,2,1,MISMATCH
3,190,Step Functionsでオーケストレーションしてください。,ステップ ファンクションズでオーケストレーションしてください。,ステップファンクションズでオケストレーションしてください。,ステップファンクションズデオーケストレーションシテクダサイ,ステップファンクションズデオケストレーションシテクダサイ,1,1,MISMATCH
3,192,Kinesis経由でデータをストリーミングしてください。,キネシス経由でデータをストリーミングしてください。,キネシスケイでデータをストリーミングしてください,キネシスケイユデデータヲストリーミングシテクダサイ,キネシスケイデデータヲストリーミングシテクダサイ,1,1,MISMATCH
3,193,データウェアハウスにはRedshiftを使ってください。,データウェアハウスにはレッドシフトを使ってください。,データウェアハウスにはとシフトを使ってください,データウェアハウスニハレッドシフトヲツカッテクダサイ,データウェアハウスニハトシフトヲツカッテクダサイ,3,2,LIKELY_ELISION
3,197,CodeDeployでデプロイしてください。,コードデプロイでデプロイしてください。,このデプロイでデプロイしてください,コードデプロイデデプロイシテクダサイ,コノデプロイデデプロイシテクダサイ,2,1,MISMATCH
3,199,監査ログはCloudTrailで確認してください。,監査ログはクラウドトレイルで確認してください。,監査ログはクラウドトレールで確認してください,カンサログハクラウドトレイルデカクニンシテクダサイ,カンサログハクラウドトレールデカクニンシテクダサイ,1,0,MISMATCH
3,203,ページの読み込みが遅いです。,ページの読み込みが遅いです。,ケージの読み込みが遅いです。,ページノヨミコミガオソイデス,ケージノヨミコミガオソイデス,1,0,MISMATCH
3,214,閾値を超えたらアラートを出してください。,閾値を超えたらアラートを出してください。,行き地を超えたらアラートを出してください,シキイチヲコエタラアラートヲダシテクダサイ,イキチヲコエタラアラートヲダシテクダサイ,2,1,MISMATCH
3,220,ログでトレースIDを探してください。,ログでトレースアイディーを探してください。,ログでトレースIDを探してください,ログデトレースアイディーヲサガシテクダサイ,ログデトレースヲサガシテクダサイ,5,5,LIKELY_ELISION
3,221,インサイトのためにAPMを確認してください。,インサイトのためにエーピーエムを確認してください。,インサイトのために、APMを確認してください。,インサイトノタメニエーピーエムヲカクニンシテクダサイ,インサイトノタメニヲカクニンシテクダサイ,6,6,LIKELY_ELISION
3,243,今週はオンコールです。,今週はオンコールです。,今週はオンコールです,コンシュウハオンコールデス,コンシュウハオンコールデス,0,0,OK
4,1,レスポンスを5分間キャッシュしてください。,レスポンスを5分間キャッシュしてください。,レスポンスを5分間キャッシュしてください,レスポンスヲフンカンキャッシュシテクダサイ,レスポンスヲフンカンキャッシュシテクダサイ,0,0,OK
4,2,高いキャッシュヒット率は良いことです。,高いキャッシュヒット率は良いことです。,高いキャッシュヒット率は良いことです,タカイキャッシュヒットリツハヨイコトデス,タカイキャッシュヒットリツハヨイコトデス,0,0,OK
4,12,ローンチ前にキャッシュをウォームアップしてください。,ローンチ前にキャッシュをウォームアップしてください。,ロンチ前にキャッシュをオームアップしてください,ローンチマエニキャッシュヲウォームアップシテクダサイ,ロンチマエニキャッシュヲオームアップシテクダサイ,3,2,LIKELY_ELISION
4,30,バックアップからリストアしてください。,バックアップからリストアしてください。,バックアップからリストアしてください,バックアップカラリストアシテクダサイ,バックアップカラリストアシテクダサイ,0,0,OK
4,39,bcryptでパスワードをハッシュ化してください。,ビークリプトでパスワードをハッシュ化してください。,beeclippedでパスワードを発祝してください,ビークリプトデパスワードヲハッシュカシテクダサイ,デパスワードヲハツシュクシテクダサイ,8,6,LIKELY_ELISION
4,45,このアクションの認可を確認してください。,このアクションの認可を確認してください。,このアクションの認可を確認してください,コノアクションノニンカヲカクニンシテクダサイ,コノアクションノニンカヲカクニンシテクダサイ,0,0,OK
4,47,権限にはRBACを使ってください。,権限にはアールバックを使ってください。,権限にはアルバックを使ってください,ケンゲンニハアールバックヲツカッテクダサイ,ケンゲンニハアルバックヲツカッテクダサイ,1,1,MISMATCH
4,64,保護のためにWAFをデプロイしてください。,保護のためにワフをデプロイしてください。,保護のためにワフをデプロイしてください,ホゴノタメニワフヲデプロイシテクダサイ,ホゴノタメニワフヲデプロイシテクダサイ,0,0,OK
4,65,DDoS攻撃を受けています。,ディードス攻撃を受けています。,リードス攻撃を受けています,ディードスコウゲキヲウケテイマス,リードスコウゲキヲウケテイマス,2,1,MISMATCH
4,77,すべてのユーザーにMFAを有効にしてください。,すべてのユーザーにエムエフエーを有効にしてください。,全てのユーザーにMFAを有効にしてください。,スベテノユーザーニエムエフエーヲユウコウニシテクダサイ,スベテノユーザーニヲユウコウニシテクダサイ,6,6,LIKELY_ELISION
4,90,コンポーネントが再レンダリングされます。,コンポーネントが再レンダリングされます。,コンポーネントがサイレンダリングされます,コンポーネントガサイレンダリングサレマス,コンポーネントガサイレンダリングサレマス,0,0,OK
4,93,クリックイベントを処理してください。,クリックイベントを処理してください。,クリックイベントを処理してください,クリックイベントヲショリシテクダサイ,クリックイベントヲショリシテクダサイ,0,0,OK
4,95,イベントハンドラーを書いてください。,イベントハンドラーを書いてください。,イベントハンドラーを書いてください,イベントハンドラーヲカイテクダサイ,イベントハンドラーヲカイテクダサイ,0,0,OK
4,97,ライフサイクルメソッドを使ってください。,ライフサイクルメソッドを使ってください。,ライフサイクルメソッドを使ってください,ライフサイクルメソッドヲツカッテクダサイ,ライフサイクルメソッドヲツカッテクダサイ,0,0,OK
4,105,バンドルサイズが大きすぎます。,バンドルサイズが大きすぎます。,バンドルサイズが大きすぎます,バンドルサイズガオオキスギマス,バンドルサイズガオオキスギマス,0,0,OK
4,126,クライアント側の検証を追加してください。,クライアント側の検証を追加してください。,クライアント側の検証を追加してください,クライアントガワノケンショウヲツイカシテクダサイ,クライアントガワノケンショウヲツイカシテクダサイ,0,0,OK
