Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
若テスト失敗ならデプロイ不可,If tests fail then deploy is not possible,若,若【もし】テスト失敗【しっぱい】ならデプロイ不可【ふか】,Grammar - Conditional If,wenyan,if,"<ruby class=""vocab"">若<rt>もし</rt></ruby>"
此メソッド不可変,This method is immutable,不,此【この】メソッド不可変【ふかへん】,Grammar - Negation,wenyan,not,"<ruby class=""vocab"">不<rt>ふ</rt></ruby>"
プロダクション直接プッシュ不可,Direct push to production is not allowed,不,プロダクション直接【ちょくせつ】プッシュ不可【ふか】,Grammar - Negation,wenyan,not,"<ruby class=""vocab"">不<rt>ふ</rt></ruby>"
返値無し. ボイド也,No return value. It is void,無,返値【かえりち】無【な】し. ボイド也【なり】,Grammar - Absence,wenyan,without / none / there is no,"<ruby class=""vocab"">無<rt>なし</rt></ruby>"
デプスに変更無し. キャッシュ使用可,No changes in deps. Can use cache,無,デプスに変更【へんこう】無【な】し. キャッシュ使【し】用【よう】可【か】,Grammar - Absence,wenyan,without / none / there is no,"<ruby class=""vocab"">無<rt>なし</rt></ruby>"
マップ以てループ代わる,Use map to replace loop,以,マップ以【もっ】てループ代【か】わる,Grammar - Means,wenyan,by means of / using,"<ruby class=""vocab"">以<rt>もって</rt></ruby>"
プロミス以て非同期処理す,Handle async using Promise,以,プロミス以【もっ】て非同期【ひどうき】処理【しょり】す,Grammar - Means,wenyan,by means of / using,"<ruby class=""vocab"">以<rt>もって</rt></ruby>"
メモリーリーク有り. 故リスタート要,There is a memory leak. Therefore restart needed,故,メモリーリーク有【あ】り. 故【ゆえ】にリスタート要【よう】,Grammar - Consequence,wenyan,therefore,"<ruby class=""vocab"">故<rt>ゆえ</rt></ruby>"
型不一致. 故コンパイル失敗,Type mismatch. Therefore compile fails,故,かた不一致【ふいっち】. 故【ゆえ】にコンパイル失敗【しっぱい】,Grammar - Consequence,wenyan,therefore,"<ruby class=""vocab"">故<rt>ゆえ</rt></ruby>"
テスト皆通過. マージ可,All tests pass. Can merge,皆,テスト皆【みな】通過【つうか】. マージ可【か】,Grammar - Universal,wenyan,all,"<ruby class=""vocab"">皆<rt>みな</rt></ruby>"
エンドポイント皆認証要,All endpoints need authentication,皆,エンドポイント皆【みな】認証【にんしょう】要【よう】,Grammar - Universal,wenyan,all,"<ruby class=""vocab"">皆<rt>みな</rt></ruby>"
マイグレーション已に完了. デプロイ可,Migration already complete. Can deploy,已,マイグレーション已【すで】に完了【かんりょう】. デプロイ可【か】,Grammar - Completion,wenyan,already,"<ruby class=""vocab"">已<rt>すでに</rt></ruby>"
此バグ已に修正済み,This bug is already fixed,已,此【この】バグ已【すで】に修正【しゅうせい】済【ず】み,Grammar - Completion,wenyan,already,"<ruby class=""vocab"">已<rt>すでに</rt></ruby>"
ホットリロード可. リスタート不要,Hot reload is possible. Restart not needed,可,ホットリロード可【か】. リスタート不要【ふよう】,Grammar - Possibility,wenyan,can / possible,"<ruby class=""vocab"">可<rt>か</rt></ruby>"
並列処理可. ワーカー加える,Parallel processing possible. Add workers,可,並列【へいれつ】処理【しょり】可【か】. ワーカー加【くわ】える,Grammar - Possibility,wenyan,can / possible,"<ruby class=""vocab"">可<rt>か</rt></ruby>"
再構要. コード冗也,Refactor needed. Code is redundant,要,再構【さいこう】要【よう】. コード冗【じょう】也【なり】,Grammar - Necessity,wenyan,need,"<ruby class=""vocab"">要<rt>よう</rt></ruby>"
インデックス加える要. 査遅過ぎ,Need to add index. Query too slow,要,インデックス加【くわ】える要【よう】. 査【さ】遅【おそ】過【す】ぎ,Grammar - Necessity,wenyan,need,"<ruby class=""vocab"">要<rt>よう</rt></ruby>"
