Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
やばい、本番落ちてる。,"Crap, prod is down.",落ちてる,やばい、本番【ほんばん】落【お】ちてる。,Chat - Incident,casual,is down,"<ruby class=""vocab"">落ちてる<rt>おちてる</rt></ruby>"
CIこけてるよ。,CI is failing.,こけてる,CIこけてるよ。,Chat - CI,casual,"failing (slang, lit. tripping)","<span class=""vocab"">こけてる</span>"
テスト通った？,Did the tests pass?,通った,テスト通【とお】った？,Chat - Testing,casual,passed,"<ruby class=""vocab"">通った<rt>とおった</rt></ruby>"
全部グリーンになった！,All green now!,グリーン,全部【ぜんぶ】グリーンになった！,Chat - Testing,casual,green (passing),"<ruby class=""vocab"">グリーン<rt><span class=""pitch-l"">ぐ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ん</span></rt></ruby>"
コンフリってる。,Got a conflict.,コンフリ,コンフリってる。,Chat - Git,casual,conflict (abbreviation),"<span class=""vocab"">コンフリ</span>"
リベースしといて。,"Rebase it, would you.",しといて,リベースしといて。,Chat - Git,casual,do it beforehand (casual),"<span class=""vocab"">しといて</span>"
プッシュした？,Did you push?,プッシュした,プッシュした？,Chat - Git,casual,pushed?,"<span class=""vocab"">プッシュした</span>"
あ、プッシュ忘れてた。,"Oh, forgot to push.",忘れてた,あ、プッシュ忘【わす】れてた。,Chat - Git,casual,forgot,"<ruby class=""vocab"">忘れてた<rt>わすれてた</rt></ruby>"
デプロイしていい？,OK to deploy?,していい,デプロイしていい？,Chat - Deploy,casual,is it OK to do,"<span class=""vocab"">していい</span>"
ちょい待って。,Hang on a sec.,ちょい待って,ちょい待【ま】って。,Chat - Wait,casual,wait a sec,"<ruby class=""vocab"">ちょい待って<rt>ちょいまって</rt></ruby>"
先行ってて。,Go ahead without me.,先行ってて,先【さき】行【い】ってて。,Chat - Meeting,casual,go ahead,"<ruby class=""vocab"">先行ってて<rt>さきいってて</rt></ruby>"
今ハドルいける？,Can you hop on a huddle now?,ハドル,今【いま】ハドルいける？,Chat - Call,casual,huddle,"<ruby class=""vocab"">ハドル<rt><span class=""pitch-h"">は</span><span class=""pitch-l"">ど</span><span class=""pitch-l"">る</span></rt></ruby>"
5分だけ通話いい？,Got 5 minutes for a call?,通話,5分【ふん】だけ通話【つうわ】いい？,Chat - Call,casual,call,"<ruby class=""vocab"">通話<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">わ</span></rt></ruby>"
聞こえてる？,Can you hear me?,聞こえてる,聞【き】こえてる？,Chat - Call,casual,can hear,"<ruby class=""vocab"">聞こえてる<rt>きこえてる</rt></ruby>"
音切れてるよ。,Your audio is cutting out.,切れてる,音【おと】切【き】れてるよ。,Chat - Call,casual,cutting out,"<ruby class=""vocab"">切れてる<rt>きれてる</rt></ruby>"
画面共有見えてる？,Can you see my screen?,画面共有,画面【がめん】共有【きょうゆう】見【み】えてる？,Chat - Call,casual,screen share,"<ruby class=""vocab"">画面共有<rt>がめんきょうゆう</rt></ruby>"
ミュートなってるよ。,You're on mute.,ミュート,ミュートなってるよ。,Chat - Call,casual,mute,"<ruby class=""vocab"">ミュート<rt><span class=""pitch-h"">みゅ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>"
後で資料送るね。,I'll send the docs later.,送るね,後【あと】で資料【しりょう】送【おく】るね。,Chat - Share,casual,will send (casual),"<ruby class=""vocab"">送るね<rt>おくるね</rt></ruby>"
リンク貼っとくね。,I'll drop the link here.,貼っとく,リンク貼【は】っとくね。,Chat - Share,casual,will paste (in advance),"<ruby class=""vocab"">貼っとく<rt>はっとく</rt></ruby>"
スレッドに書いといた。,Put it in the thread.,書いといた,スレッドに書【か】いといた。,Chat - Slack,casual,wrote it down (in advance),"<ruby class=""vocab"">書いといた<rt>かいといた</rt></ruby>"
DMした。,DM'd you.,DMした,DMした。,Chat - Slack,casual,sent a DM,"<span class=""vocab"">DMした</span>"
あとで返信するね。,I'll reply later.,返信,あとで返信【へんしん】するね。,Chat - Slack,casual,reply,"<ruby class=""vocab"">返信<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>"
既読つけといて。,Mark it read at least.,既読,既読【きどく】つけといて。,Chat - Slack,casual,read (receipt),"<ruby class=""vocab"">既読<rt>きどく</rt></ruby>"
これ誰のタスク？,Whose task is this?,誰の,これ誰【だれ】のタスク？,Chat - Task,casual,whose,"<ruby class=""vocab"">誰の<rt>だれの</rt></ruby>"
これ僕がやるよ。,I'll take this one.,やるよ,これ僕【ぼく】がやるよ。,Chat - Task,casual,will do it,"<span class=""vocab"">やるよ</span>"
任せた！,All yours!,任せた,任【まか】せた！,Chat - Task,casual,leave it to you,"<ruby class=""vocab"">任せた<rt>まかせた</rt></ruby>"
巻き取るよ。,I'll take it over.,巻き取る,巻【ま】き取【と】るよ。,Chat - Task,casual,take over (work),"<ruby class=""vocab"">巻き取る<rt><span class=""pitch-l"">ま</span><span class=""pitch-h"">き</span><span class=""pitch-h"">と</span><span class=""pitch-l"">る</span></rt></ruby>"
助かる！,Lifesaver!,助かる,助【たす】かる！,Chat - Thanks,casual,that helps,"<ruby class=""vocab"">助かる<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">す</span><span class=""pitch-h"">か</span><span class=""pitch-l"">る</span></rt></ruby>"
さすが！,Nice one!,さすが,さすが！,Chat - Praise,casual,as expected of you,"<span class=""vocab""><span class=""pitch-l"">さ</span><span class=""pitch-h"">す</span><span class=""pitch-h"">が</span></span>"
ナイス！,Nice!,ナイス,ナイス！,Chat - Praise,casual,nice,"<ruby class=""vocab"">ナイス<rt><span class=""pitch-h"">な</span><span class=""pitch-l"">い</span><span class=""pitch-l"">す</span></rt></ruby>"
おつかれ！,Later! / Good work today!,おつかれ,おつかれ！,Chat - Greeting,casual,good work (casual),"<span class=""vocab"">おつかれ</span>"
お先です！,I'm heading out!,お先,お先【さき】です！,Chat - Greeting,casual,leaving first,"<ruby class=""vocab"">お先<rt>おさき</rt></ruby>"
今日リモートにする。,Going remote today.,リモートにする,今日【きょう】リモートにする。,Chat - Schedule,casual,go remote,"<span class=""vocab"">リモートにする</span>"
午後半休もらうね。,Taking a half day this afternoon.,半休,午後【ごご】半休【はんきゅう】もらうね。,Chat - Schedule,casual,half day off,"<ruby class=""vocab"">半休<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">きゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
体調わるいんで休みます。,"Feeling sick, taking the day off.",体調,体調【たいちょう】わるいんで休【やす】みます。,Chat - Schedule,casual,physical condition,"<ruby class=""vocab"">体調<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ちょ</span><span class=""pitch-h"">う</span></rt></ruby>"
退勤します。,Clocking out.,退勤,退勤【たいきん】します。,Chat - Schedule,casual,clock out,"<ruby class=""vocab"">退勤<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">き</span><span class=""pitch-h"">ん</span></rt></ruby>"
ランチ行ってきます。,Off to lunch.,行ってきます,ランチ行【い】ってきます。,Chat - Schedule,casual,heading out (be back),"<ruby class=""vocab"">行ってきます<rt>いってきます</rt></ruby>"
戻りました。,Back.,戻りました,戻【もど】りました。,Chat - Schedule,casual,I'm back,"<ruby class=""vocab"">戻りました<rt>もどりました</rt></ruby>"
ちょっと離席します。,Stepping away for a bit.,離席,ちょっと離席【りせき】します。,Chat - Schedule,casual,away from desk,"<ruby class=""vocab"">離席<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">き</span></rt></ruby>"
これ優先度高め？,Is this high priority?,高め,これ優先度【ゆうせんど】高【たか】め？,Chat - Priority,casual,on the high side,"<ruby class=""vocab"">高め<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">か</span><span class=""pitch-h"">め</span></rt></ruby>"
急ぎじゃないよ。,No rush.,急ぎ,急【いそ】ぎじゃないよ。,Chat - Priority,casual,urgent / rush,"<ruby class=""vocab"">急ぎ<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">そ</span><span class=""pitch-h"">ぎ</span></rt></ruby>"
今手が離せない。,Can't step away right now.,手が離せない,今【いま】手【て】が離【はな】せない。,Chat - Busy,casual,tied up,"<ruby class=""vocab"">手が離せない<rt>てがはなせない</rt></ruby>"
後でリマインドして。,Remind me later.,リマインド,後【あと】でリマインドして。,Chat - Request,casual,remind,"<span class=""vocab"">リマインド</span>"
ログ吐いてる？,Is it writing logs?,吐いてる,ログ吐【は】いてる？,Chat - Debug,casual,spitting out (logs/errors),"<ruby class=""vocab"">吐いてる<rt>はいてる</rt></ruby>"
エラー出てるよ。,There are errors showing.,エラー出てる,エラー出【で】てるよ。,Chat - Debug,casual,errors appearing,"<ruby class=""vocab"">エラー出てる<rt>えらーでてる</rt></ruby>"
直った！,Fixed!,直った,直【なお】った！,Chat - Success,casual,got fixed,"<ruby class=""vocab"">直った<rt>なおった</rt></ruby>"
なんでだろ。,Wonder why.,なんでだろ,なんでだろ。,Chat - Debug,casual,I wonder why,"<span class=""vocab"">なんでだろ</span>"
わかんない。,No idea.,わかんない,わかんない。,Chat - Debug,casual,dunno,"<span class=""vocab"">わかんない</span>"
ググってみる。,I'll google it.,ググって,ググってみる。,Chat - Debug,casual,google it (verb),"<span class=""vocab"">ググって</span>"
AIに聞いてみた。,Asked the AI.,聞いてみた,AIに聞【き】いてみた。,Chat - AI,casual,tried asking,"<ruby class=""vocab"">聞いてみた<rt>きいてみた</rt></ruby>"
それアリだね。,That could work.,アリ,それアリだね。,Chat - Agreement,casual,viable (slang),"<ruby class=""vocab"">アリ<rt><span class=""pitch-h"">あ</span><span class=""pitch-l"">り</span></rt></ruby>"
それはナシかな。,That's a no for me.,ナシ,それはナシかな。,Chat - Disagreement,casual,not viable (slang),"<ruby class=""vocab"">ナシ<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">し</span></rt></ruby>"
微妙かも。,Not sure about that.,微妙,微妙【びみょう】かも。,Chat - Disagreement,casual,iffy,"<ruby class=""vocab"">微妙<rt><span class=""pitch-l"">び</span><span class=""pitch-h"">みょ</span><span class=""pitch-h"">う</span></rt></ruby>"
知らんかった。,Didn't know that.,知らんかった,知【し】らんかった。,Chat - Reaction,casual,didn't know (casual),"<ruby class=""vocab"">知らんかった<rt>しらんかった</rt></ruby>"
なるほどね。,Gotcha.,なるほどね,なるほどね。,Chat - Acknowledgment,casual,I see (casual),"<span class=""vocab"">なるほどね</span>"
了解です！,Got it!,了解です,了解【りょうかい】です！,Chat - Acknowledgment,casual,roger / got it,"<ruby class=""vocab"">了解です<rt>りょうかいです</rt></ruby>"
たしかに。,Fair point.,たしかに,たしかに。,Chat - Agreement,casual,true / fair,"<span class=""vocab"">たしかに</span>"
バグっぽいね。,Looks like a bug.,っぽい,バグっぽいね。,Chat - Reaction,casual,seems like,"<span class=""vocab""><span class=""pitch-l"">っ</span><span class=""pitch-h"">ぽ</span><span class=""pitch-l"">い</span></span>"
一旦これで進めるね。,Going with this for now.,一旦,一旦【いったん】これで進【すす】めるね。,Chat - Decision,casual,for now / tentatively,"<ruby class=""vocab"">一旦<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">た</span><span class=""pitch-h"">ん</span></rt></ruby>"
とりあえず動くやつできた。,Got a rough working version.,とりあえず,とりあえず動【うご】くやつできた。,Chat - Progress,casual,for the time being,"<span class=""vocab""><span class=""pitch-l"">と</span><span class=""pitch-h"">り</span><span class=""pitch-h"">あ</span><span class=""pitch-l"">え</span><span class=""pitch-l"">ず</span></span>"
雑にやっつけた。,Hacked it together.,やっつけた,雑【ざつ】にやっつけた。,Chat - Progress,casual,knocked out (roughly),"<span class=""vocab"">やっつけた</span>"
後でちゃんと直す。,I'll clean it up properly later.,ちゃんと,後【あと】でちゃんと直【なお】す。,Chat - Promise,casual,properly,"<span class=""vocab""><span class=""pitch-l"">ちゃ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></span>"
これ仕様？,Is this intended behavior?,これ仕様,これ仕様【しよう】？,Chat - Debug,casual,is this the spec?,"<ruby class=""vocab"">これ仕様<rt>これしよう</rt></ruby>"
仕様変わったらしいよ。,Apparently the spec changed.,らしい,仕様【しよう】変【か】わったらしいよ。,Chat - News,casual,apparently,"<span class=""vocab"">らしい</span>"
聞いてないよー。,Nobody told me!,聞いてない,聞【き】いてないよー。,Chat - Reaction,casual,wasn't told,"<ruby class=""vocab"">聞いてない<rt>きいてない</rt></ruby>"
それ先週言ったじゃん。,I told you that last week.,じゃん,それ先週【せんしゅう】言【い】ったじゃん。,Chat - Reaction,casual,didn't I (casual emphasis),"<span class=""vocab"">じゃん</span>"
ですよね。,Right? I thought so.,ですよね,ですよね。,Chat - Agreement,casual,right? (seeking agreement),"<span class=""vocab"">ですよね</span>"
それでいきましょ。,Let's go with that.,いきましょ,それでいきましょ。,Chat - Decision,casual,let's go (clipped),"<span class=""vocab"">いきましょ</span>"
ワンチャンいけるかも。,Might just work.,ワンチャン,ワンチャンいけるかも。,Chat - Reaction,casual,maybe (slang),"<span class=""vocab"">ワンチャン</span>"
ガチで助かった。,Seriously saved me.,ガチで,ガチで助【たす】かった。,Chat - Thanks,casual,seriously (slang),"<span class=""vocab"">ガチで</span>"
神対応だった。,That support was god-tier.,神対応,神【かみ】対応【たいおう】だった。,Chat - Praise,casual,god-tier response,"<ruby class=""vocab"">神対応<rt>かみたいおう</rt></ruby>"
沼にはまってる。,I'm stuck in a rabbit hole.,沼,沼【ぬま】にはまってる。,Chat - Debug,casual,swamp (rabbit hole),"<ruby class=""vocab"">沼<rt><span class=""pitch-l"">ぬ</span><span class=""pitch-h"">ま</span></rt></ruby>"
詰んだ。,I'm stuck. Game over.,詰んだ,詰【つ】んだ。,Chat - Debug,casual,checkmated (stuck),"<ruby class=""vocab"">詰んだ<rt>つんだ</rt></ruby>"
力技で解決した。,Brute-forced it.,力技,力技【ちからわざ】で解決【かいけつ】した。,Chat - Debug,casual,brute force,"<ruby class=""vocab"">力技<rt><span class=""pitch-l"">ち</span><span class=""pitch-h"">か</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">わ</span><span class=""pitch-h"">ざ</span></rt></ruby>"
おまかせで。,Your call.,おまかせ,おまかせで。,Chat - Decision,casual,up to you,"<span class=""vocab"">おまかせ</span>"
異論なし！,No objections!,異論,異論【いろん】なし！,Chat - Agreement,casual,objection / dissent,"<ruby class=""vocab"">異論<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ろ</span><span class=""pitch-h"">ん</span></rt></ruby>"
乾杯！リリースおめでとう！,Cheers! Congrats on the release!,おめでとう,乾杯【かんぱい】！リリースおめでとう！,Chat - Celebration,casual,congrats,"<span class=""vocab"">おめでとう</span>"
今日はもう無理、寝る。,"I'm done for today, going to bed.",無理,今日【きょう】はもう無理【むり】、寝【ね】る。,Chat - Status,casual,can't anymore,"<ruby class=""vocab"">無理<rt><span class=""pitch-h"">む</span><span class=""pitch-l"">り</span></rt></ruby>"
明日の朝イチでやるね。,First thing tomorrow morning.,朝イチ,明日【あした】の朝【あさ】イチでやるね。,Chat - Promise,casual,first thing in the morning,"<ruby class=""vocab"">朝イチ<rt>あさいち</rt></ruby>"
