Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,KeyMeaning,Conjugations
簡単な質問です。設定ファイルはどこですか？,Quick question - where is the config file?,質問,簡単【かんたん】な質問【しつもん】です。設定【せってい】ファイルはどこですか？,簡単【かんたん】な質問【しつもん】です。設定【せってい】ファイルはどこですか？,Communication - Question,question,"<details class=""conjugation-section""><summary>Conjugations for 質問 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>質問する</td></tr><tr><td>Polite ます形</td><td>質問します</td></tr><tr><td>Negative ない形</td><td>質問しない</td></tr><tr><td>Te-form て形</td><td>質問して</td></tr><tr><td>Past た形</td><td>質問した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>質問できる</td></tr><tr><td>Passive 受身形</td><td>質問される</td></tr><tr><td>Causative 使役形</td><td>質問させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>質問させられる</td></tr><tr><td>Conditional 仮定形</td><td>質問すれば</td></tr><tr><td>Conditional たら形</td><td>質問したら</td></tr><tr><td>Volitional 意向形</td><td>質問しよう</td></tr><tr><td>Imperative 命令形</td><td>質問しろ</td></tr><tr><td>Want to たい形</td><td>質問したい</td></tr><tr><td>Should べき形</td><td>質問すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>質問なさる</td></tr><tr><td>Humble 謙譲語</td><td>質問いたす</td></tr></table></details>"
素早いレビューありがとうございます！,Thanks for the quick review!,ありがとう,素早【すばや】いレビューありがとうございます！,素早【すばや】いレビューありがとうございます！,Communication - Gratitude,thank you,
いいですね、そうしましょう。,"Sounds good, let's do that.",いいですね,いいですね、そうしましょう。,いいですね、そうしましょう。,Communication - Agreement,sounds good,"<details class=""conjugation-section""><summary>Conjugations for いいですね (い形容詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>良い</td></tr><tr><td>Negative ない形</td><td>良くない</td></tr><tr><td>Past た形</td><td>良かった</td></tr><tr><td>Past Neg なかった</td><td>良くなかった</td></tr><tr><td>Te-form て形</td><td>良くて</td></tr><tr><td>Adverbial く形</td><td>良く</td></tr></table></details>"
なるほど、説明ありがとうございます。,"That makes sense, thanks for explaining.",なるほど,なるほど、説明【せつめい】ありがとうございます。,なるほど、説明【せつめい】ありがとうございます。,Communication - Acknowledgment,I see,
了解、今から始めます。,"Got it, I'll start on that now.",了解,了解【りょうかい】、今【いま】から始【はじ】めます。,了解【りょうかい】、今【いま】から始【はじ】めます。,Communication - Acknowledgment,understood,"<details class=""conjugation-section""><summary>Conjugations for 了解 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>了解する</td></tr><tr><td>Polite ます形</td><td>了解します</td></tr><tr><td>Negative ない形</td><td>了解しない</td></tr><tr><td>Te-form て形</td><td>了解して</td></tr><tr><td>Past た形</td><td>了解した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>了解できる</td></tr><tr><td>Passive 受身形</td><td>了解される</td></tr><tr><td>Causative 使役形</td><td>了解させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>了解させられる</td></tr><tr><td>Conditional 仮定形</td><td>了解すれば</td></tr><tr><td>Conditional たら形</td><td>了解したら</td></tr><tr><td>Volitional 意向形</td><td>了解しよう</td></tr><tr><td>Imperative 命令形</td><td>了解しろ</td></tr><tr><td>Want to たい形</td><td>了解したい</td></tr><tr><td>Should べき形</td><td>了解すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>了解なさる</td></tr><tr><td>Humble 謙譲語</td><td>了解いたす</td></tr></table></details>"
もちろんそれを手伝えます。,"Sure, I can help with that.",もちろん,もちろんそれを手伝【てつだ】えます。,もちろん、それを手伝【てつだ】えます。,Communication - Agreement,of course,
すみません、会議に出られませんでした。,"Sorry, I missed the meeting.",すみません,すみません、会議【かいぎ】に出【で】られませんでした。,すみません、会議【かいぎ】に出【で】られませんでした。,Communication - Apology,sorry/excuse me,"<details class=""conjugation-section""><summary>Conjugations for すみません (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>済む</td></tr><tr><td>Polite ます形</td><td>済みます</td></tr><tr><td>Negative ない形</td><td>済まない</td></tr><tr><td>Te-form て形</td><td>済んで</td></tr><tr><td>Past た形</td><td>済んだ</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>済める</td></tr><tr><td>Passive 受身形</td><td>済まれる</td></tr><tr><td>Causative 使役形</td><td>済ませる</td></tr><tr><td>Caus-Pass 使役受身</td><td>済ませられる</td></tr><tr><td>Conditional 仮定形</td><td>済めば</td></tr><tr><td>Conditional たら形</td><td>済んだら</td></tr><tr><td>Volitional 意向形</td><td>済もう</td></tr><tr><td>Imperative 命令形</td><td>済め</td></tr><tr><td>Want to たい形</td><td>済みたい</td></tr><tr><td>Should べき形</td><td>済むべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>済まれる</td></tr><tr><td>Humble 謙譲語</td><td>お済みする</td></tr></table></details>"
実はもっと良い方法があると思います。,"Actually, I think there's a better way.",実は,実【じつ】はもっと良【よ】い方法【ほうほう】があると思【おも】います。,実【じつ】は、もっと良【よ】い方法【ほうほう】が、あると思【おも】います。,Communication - Clarification,actually,
おそらく2日かかるでしょう。,This will probably take two days.,おそらく,おそらく2日【ふつか】かかるでしょう。,おそらく2日【ふつか】かかるでしょう。,Communication - Uncertainty,probably,
チームリードに聞いた方がいいかもしれません。,Maybe we should ask the team lead.,かもしれません,チームリードに聞【き】いた方【ほう】がいいかもしれません。,チームリードに聞【き】いた方【ほう】がいいかもしれません。,Communication - Uncertainty,might/maybe,
ここには確実にもっとテストが必要です。,We definitely need more tests here.,確実に,ここには確実【かくじつ】にもっとテストが必要【ひつよう】です。,ここには確実【かくじつ】にもっとテストが必要【ひつよう】です。,Communication - Agreement,definitely,
基本的に、APIからデータを取得します。,"Basically, it fetches data from the API.",基本的に,基本的【きほんてき】に、APIからデータを取得【しゅとく】します。,基本的【きほんてき】に、APIからデータを取得【しゅとく】します。,Other - Fundamentally,basically,
現在認証の問題をデバッグしています。,I'm currently debugging the auth issue.,現在,現在【げんざい】認証【にんしょう】の問題【もんだい】をデバッグしています。,現在【げんざい】認証【にんしょう】の問題【もんだい】をデバッグしています。,Time - Present,currently,
ビルドはまだ実行中です。,The build is still running.,まだ,ビルドはまだ実行中【じっこうちゅう】です。,ビルドはまだ実行中【じっこうちゅう】です。,Time - Duration,still/not yet,
すでに変更をプッシュしました。,I already pushed the changes.,すでに,すでに変更【へんこう】をプッシュしました。,すでに変更【へんこう】をプッシュしました。,Time - Past,already,
テストはまだ終わっていません。,The tests haven't finished yet.,終わって,テストはまだ終【お】わっていません。,テストはまだ終【お】わっていません。,Workflow - Completion,finished,"<details class=""conjugation-section""><summary>Conjugations for 終わって (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>終わる</td></tr><tr><td>Polite ます形</td><td>終わります</td></tr><tr><td>Negative ない形</td><td>終わらない</td></tr><tr><td>Te-form て形</td><td>終わって</td></tr><tr><td>Past た形</td><td>終わった</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>終われる</td></tr><tr><td>Passive 受身形</td><td>終わられる</td></tr><tr><td>Causative 使役形</td><td>終わらせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>終わらせられる</td></tr><tr><td>Conditional 仮定形</td><td>終われば</td></tr><tr><td>Conditional たら形</td><td>終わったら</td></tr><tr><td>Volitional 意向形</td><td>終わろう</td></tr><tr><td>Imperative 命令形</td><td>終われ</td></tr><tr><td>Want to たい形</td><td>終わりたい</td></tr><tr><td>Should べき形</td><td>終わるべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>終わられる</td></tr><tr><td>Humble 謙譲語</td><td>お終わりする</td></tr></table></details>"
すぐにこれを終わらせます。,I'll have this done soon.,すぐに,すぐにこれを終【お】わらせます。,すぐにこれを終【お】わらせます。,Time - Future,immediately/soon,
後でこれについて話せますか？,Can we discuss this later?,後で,後【あと】でこれについて話【はな】せますか？,後【あと】で、これについて話【はな】せますか？,Time - Future,later,
今すぐこれをデプロイする必要があります。,We need to deploy this now.,今すぐ,今【いま】すぐこれをデプロイする必要【ひつよう】があります。,今【いま】すぐ、これをデプロイする必要【ひつよう】が、あります。,Time - Present,right now,
今日中にできますか？,Can this be done today?,今日中,今日中【きょうじゅう】にできますか？,今日中【きょうじゅう】にできますか？,Time - Deadline,by today,
テスト後にこれらの変更をコミットします。,I'll commit these changes after testing.,コミット,テスト後【ご】にこれらの変更【へんこう】をコミットします。,テスト後【ご】にこれらの変更【へんこう】をコミットします。,Git - Commit,commit,"<details class=""conjugation-section""><summary>Conjugations for コミット (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>コミットする</td></tr><tr><td>Polite ます形</td><td>コミットします</td></tr><tr><td>Negative ない形</td><td>コミットしない</td></tr><tr><td>Te-form て形</td><td>コミットして</td></tr><tr><td>Past た形</td><td>コミットした</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>コミットできる</td></tr><tr><td>Passive 受身形</td><td>コミットされる</td></tr><tr><td>Causative 使役形</td><td>コミットさせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>コミットさせられる</td></tr><tr><td>Conditional 仮定形</td><td>コミットすれば</td></tr><tr><td>Conditional たら形</td><td>コミットしたら</td></tr><tr><td>Volitional 意向形</td><td>コミットしよう</td></tr><tr><td>Imperative 命令形</td><td>コミットしろ</td></tr><tr><td>Want to たい形</td><td>コミットしたい</td></tr><tr><td>Should べき形</td><td>コミットすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>コミットなさる</td></tr><tr><td>Humble 謙譲語</td><td>コミットいたす</td></tr></table></details>"
ブランチをプッシュするのを忘れないでください。,Don't forget to push your branch.,プッシュ,ブランチをプッシュするのを忘【わす】れないでください。,ブランチをプッシュするのを忘【わす】れないでください。,Git - Remote,push,"<details class=""conjugation-section""><summary>Conjugations for プッシュ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>プッシュする</td></tr><tr><td>Polite ます形</td><td>プッシュします</td></tr><tr><td>Negative ない形</td><td>プッシュしない</td></tr><tr><td>Te-form て形</td><td>プッシュして</td></tr><tr><td>Past た形</td><td>プッシュした</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>プッシュできる</td></tr><tr><td>Passive 受身形</td><td>プッシュされる</td></tr><tr><td>Causative 使役形</td><td>プッシュさせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>プッシュさせられる</td></tr><tr><td>Conditional 仮定形</td><td>プッシュすれば</td></tr><tr><td>Conditional たら形</td><td>プッシュしたら</td></tr><tr><td>Volitional 意向形</td><td>プッシュしよう</td></tr><tr><td>Imperative 命令形</td><td>プッシュしろ</td></tr><tr><td>Want to たい形</td><td>プッシュしたい</td></tr><tr><td>Should べき形</td><td>プッシュすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>プッシュなさる</td></tr><tr><td>Humble 謙譲語</td><td>プッシュいたす</td></tr></table></details>"
始める前に最新の変更をプルしてください。,Pull the latest changes before starting.,プル,始【はじ】める前【まえ】に最新【さいしん】の変更【へんこう】をプルしてください。,始【はじ】める前【まえ】に最新【さいしん】の変更【へんこう】をプルしてください。,Git - Remote,pull,
これをmainにマージしてもらえますか？,Can you merge this into main?,マージ,これをmainにマージしてもらえますか？,これをmainにマージしてもらえますか？,Git - Merge,merge,"<details class=""conjugation-section""><summary>Conjugations for マージ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>マージする</td></tr><tr><td>Polite ます形</td><td>マージします</td></tr><tr><td>Negative ない形</td><td>マージしない</td></tr><tr><td>Te-form て形</td><td>マージして</td></tr><tr><td>Past た形</td><td>マージした</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>マージできる</td></tr><tr><td>Passive 受身形</td><td>マージされる</td></tr><tr><td>Causative 使役形</td><td>マージさせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>マージさせられる</td></tr><tr><td>Conditional 仮定形</td><td>マージすれば</td></tr><tr><td>Conditional たら形</td><td>マージしたら</td></tr><tr><td>Volitional 意向形</td><td>マージしよう</td></tr><tr><td>Imperative 命令形</td><td>マージしろ</td></tr><tr><td>Want to たい形</td><td>マージしたい</td></tr><tr><td>Should べき形</td><td>マージすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>マージなさる</td></tr><tr><td>Humble 謙譲語</td><td>マージいたす</td></tr></table></details>"
この機能用に新しいブランチを作成してください。,Create a new branch for this feature.,ブランチ,この機能【きのう】用【よう】に新【あたら】しいブランチを作成【さくせい】してください。,この機能【きのう】用【よう】に新【あたら】しいブランチを作成【さくせい】してください。,Git - Branch,branch,
バグ修正のPRを開きました。,I opened a PR for the bug fix.,PR,バグ修正【しゅうせい】のPRを開【ひら】きました。,バグ修正【しゅうせい】のPRを開【ひら】きました。,Git - Collaboration,PR,
時間があるときにPRをレビューしてもらえますか？,Can you review my PR when you have time?,レビュー,時間【じかん】があるときにPRをレビューしてもらえますか？,時間【じかん】が、あるときにPRをレビューしてもらえますか？,Git - Collaboration,review,"<details class=""conjugation-section""><summary>Conjugations for レビュー (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>レビューする</td></tr><tr><td>Polite ます形</td><td>レビューします</td></tr><tr><td>Negative ない形</td><td>レビューしない</td></tr><tr><td>Te-form て形</td><td>レビューして</td></tr><tr><td>Past た形</td><td>レビューした</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>レビューできる</td></tr><tr><td>Passive 受身形</td><td>レビューされる</td></tr><tr><td>Causative 使役形</td><td>レビューさせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>レビューさせられる</td></tr><tr><td>Conditional 仮定形</td><td>レビューすれば</td></tr><tr><td>Conditional たら形</td><td>レビューしたら</td></tr><tr><td>Volitional 意向形</td><td>レビューしよう</td></tr><tr><td>Imperative 命令形</td><td>レビューしろ</td></tr><tr><td>Want to たい形</td><td>レビューしたい</td></tr><tr><td>Should べき形</td><td>レビューすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>レビューなさる</td></tr><tr><td>Humble 謙譲語</td><td>レビューいたす</td></tr></table></details>"
