Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
エラーハンドリングを追加してください。任意です。,Optional: add more error handling.,任意,エラーハンドリングを追加【ついか】してください。任意【にんい】です。,エラーハンドリングを追加【ついか】してください。任意【にんい】です。,Code Review - Optional,polite,optional,"<ruby class=""vocab"">任意<rt><span class=""pitch-l"">に</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">い</span></rt></ruby>",
この変更にはテストを追加してください。必須です。,Required: add tests for this change.,必須,この変更【へんこう】にはテストを追加【ついか】してください。必須【ひっす】です。,この変更【へんこう】にはテストを追加【ついか】してください。必須【ひっす】です。,Code Review - Required,polite,required,"<ruby class=""vocab"">必須<rt><span class=""pitch-l"">ひ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">す</span></rt></ruby>",
最新のコミットで対応しました。,Addressed in the latest commit.,対応,最新【さいしん】のコミットで対応【たいおう】しました。,最新【さいしん】のコミットで対応【たいおう】しました。,Code Review - Addressed,polite,handle/respond,"<ruby class=""vocab"">対応<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">お</span><span class=""pitch-h"">う</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 対応 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>対応する</td></tr><tr><td>Polite ます形</td><td>対応します</td></tr><tr><td>Polite Negative ません形</td><td>対応しません</td></tr><tr><td>Te-form て形</td><td>対応して</td></tr><tr><td>Polite Past ました形</td><td>対応しました</td></tr><tr><td>Progressive ている形</td><td>対応しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>対応できる</td></tr><tr><td>Passive 受身形</td><td>対応される</td></tr><tr><td>Conditional たら形</td><td>対応したら</td></tr><tr><td>Volitional 意向形</td><td>対応しよう</td></tr><tr><td>Should べき形</td><td>対応すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>対応なさる</td></tr><tr><td>Humble 謙譲語</td><td>対応いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
解決済みとしてマークしました。,Marked as resolved.,解決済み,解決済【かいけつず】みとしてマークしました。,解決済【かいけつず】みとしてマークしました。,Code Review - Resolved,polite,resolved,,
このコメントは古くなっています。,This comment is outdated.,古く,このコメントは古【ふる】くなっています。,このコメントは古【ふる】くなっています。,Code Review - Outdated,polite,old,"<ruby class=""vocab"">古く<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">る</span><span class=""pitch-l"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 古く (い形容詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>古い</td></tr><tr><td>Negative ない形</td><td>古くない</td></tr><tr><td>Past た形</td><td>古かった</td></tr><tr><td>Past Neg なかった</td><td>古くなかった</td></tr><tr><td>Te-form て形</td><td>古くて</td></tr><tr><td>Adverbial く形</td><td>古く</td></tr></table></details>"
このPRは古くなっています。更新してください。,"This PR is stale, please update.",古く,このPRは古【ふる】くなっています。更新【こうしん】してください。,このPRは古【ふる】くなっています。更新【こうしん】してください。,Code Review - Stale,polite,old,"<ruby class=""vocab"">古く<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">る</span><span class=""pitch-l"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 古く (い形容詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>古い</td></tr><tr><td>Negative ない形</td><td>古くない</td></tr><tr><td>Past た形</td><td>古かった</td></tr><tr><td>Past Neg なかった</td><td>古くなかった</td></tr><tr><td>Te-form て形</td><td>古くて</td></tr><tr><td>Adverbial く形</td><td>古く</td></tr></table></details>"
いくつかの変更を依頼しました。,I requested some changes.,変更を依頼,いくつかの変更【へんこう】を依頼【いらい】しました。,いくつかの変更【へんこう】を依頼【いらい】しました。,Code Review - Changes Requested,polite,request change,,
PRは承認されました。,Your PR is approved.,承認,PRは承認【しょうにん】されました。,PRは承認【しょうにん】されました。,Code Review - Approved,polite,approve,"<ruby class=""vocab"">承認<rt><span class=""pitch-l"">しょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">に</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 承認 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>承認する</td></tr><tr><td>Polite ます形</td><td>承認します</td></tr><tr><td>Polite Negative ません形</td><td>承認しません</td></tr><tr><td>Te-form て形</td><td>承認して</td></tr><tr><td>Polite Past ました形</td><td>承認しました</td></tr><tr><td>Progressive ている形</td><td>承認しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>承認できる</td></tr><tr><td>Passive 受身形</td><td>承認される</td></tr><tr><td>Conditional たら形</td><td>承認したら</td></tr><tr><td>Volitional 意向形</td><td>承認しよう</td></tr><tr><td>Should べき形</td><td>承認すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>承認なさる</td></tr><tr><td>Humble 謙譲語</td><td>承認いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
CIが通ったらマージできます。,You can merge after CI passes.,マージ,CIが通【とお】ったらマージできます。,CIが通【とお】ったらマージできます。,Git - Merge,polite,merge,"<span class=""vocab""><span class=""pitch-h"">ま</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">じ</span></span>","<details class=""conjugation-section""><summary>Conjugations for マージ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>マージする</td></tr><tr><td>Polite ます形</td><td>マージします</td></tr><tr><td>Polite Negative ません形</td><td>マージしません</td></tr><tr><td>Te-form て形</td><td>マージして</td></tr><tr><td>Polite Past ました形</td><td>マージしました</td></tr><tr><td>Progressive ている形</td><td>マージしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>マージできる</td></tr><tr><td>Passive 受身形</td><td>マージされる</td></tr><tr><td>Conditional たら形</td><td>マージしたら</td></tr><tr><td>Volitional 意向形</td><td>マージしよう</td></tr><tr><td>Should べき形</td><td>マージすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>マージなさる</td></tr><tr><td>Humble 謙譲語</td><td>マージいたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
スカッシュしてマージしてください。,Squash and merge please.,スカッシュ,スカッシュしてマージしてください。,スカッシュしてマージしてください。,Git - Squash,polite,squash,"<span class=""vocab""><span class=""pitch-l"">す</span><span class=""pitch-h"">か</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しゅ</span></span>",
mainにリベースしてください。,Please rebase on main.,リベース,mainにリベースしてください。,mainにリベースしてください。,Git - Rebase,polite,rebase,,
まずマージコンフリクトを解決してください。,Resolve the merge conflicts first.,コンフリクト,まずマージコンフリクトを解決【かいけつ】してください。,まず、マージコンフリクトを解決【かいけつ】してください。,Git - Conflict,polite,conflict,"<span class=""vocab""><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ふ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">く</span><span class=""pitch-l"">と</span></span>",
差分がレビューしにくいです。,The diff is hard to review.,差分,差分【さぶん】がレビューしにくいです。,差分【さぶん】がレビューしにくいです。,Git - Diff,polite,diff,"<ruby class=""vocab"">差分<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ぶ</span><span class=""pitch-h"">ん</span></rt></ruby>",
このコードはとても読みやすいです。,This code is very readable.,読みやすい,このコードはとても読【よ】みやすいです。,このコードはとても読【よ】みやすいです。,Code Quality - Readability,polite,readable,,"<details class=""conjugation-section""><summary>Conjugations for 読みやすい (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>読む</td></tr><tr><td>Polite ます形</td><td>読みます</td></tr><tr><td>Polite Negative ません形</td><td>読みません</td></tr><tr><td>Te-form て形</td><td>読んで</td></tr><tr><td>Polite Past ました形</td><td>読みました</td></tr><tr><td>Progressive ている形</td><td>読んでいます</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>読める</td></tr><tr><td>Passive 受身形</td><td>読まれる</td></tr><tr><td>Conditional たら形</td><td>読んだら</td></tr><tr><td>Volitional 意向形</td><td>読もう</td></tr><tr><td>Should べき形</td><td>読むべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>読まれる</td></tr><tr><td>Humble 謙譲語</td><td>お読みする</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
きれいな実装ですね。,Nice clean implementation.,きれい,きれいな実装【じっそう】ですね。,きれいな実装【じっそう】ですね。,Data - Cleansing,polite,clean/nice,"<span class=""vocab""><span class=""pitch-h"">き</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">い</span></span>",
エレガントな解決策ですね。,That's an elegant solution.,エレガント,エレガントな解決策【かいけつさく】ですね。,エレガントな解決策【かいけつさく】ですね。,Code Quality - Clean,polite,elegant,"<span class=""vocab""><span class=""pitch-h"">え</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">が</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">と</span></span>",
これは少しハッキーな感じがします。,This feels a bit hacky.,ハッキー,これは少【すこ】しハッキーな感【かん】じがします。,これは少【すこ】しハッキーな感【かん】じが、します。,Code Quality - Technical Debt,polite,hacky,,
マジックナンバーを避けて定数を使ってください。,Avoid magic numbers use constants.,マジックナンバー,マジックナンバーを避【さ】けて定数【ていすう】を使【つか】ってください。,マジックナンバーを避【さ】けて定数【ていすう】を使【つか】ってください。,Code Quality - Anti-Pattern,polite,magic number,,
URLをハードコードしないでください。,Don't hardcode the URL.,ハードコード,URLをハードコードしないでください。,URLをハードコードしないでください。,Code Quality - Anti-Pattern,polite,hardcode,,
ここにコードの重複があります。,There's some code duplication here.,重複,ここにコードの重複【じゅうふく】があります。,ここにコードの重複【じゅうふく】が、あります。,Code Quality - Dry,polite,duplicate,"<ruby class=""vocab"">重複<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ふ</span><span class=""pitch-h"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 重複 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>重複する</td></tr><tr><td>Polite ます形</td><td>重複します</td></tr><tr><td>Polite Negative ません形</td><td>重複しません</td></tr><tr><td>Te-form て形</td><td>重複して</td></tr><tr><td>Polite Past ました形</td><td>重複しました</td></tr><tr><td>Progressive ている形</td><td>重複しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>重複できる</td></tr><tr><td>Passive 受身形</td><td>重複される</td></tr><tr><td>Conditional たら形</td><td>重複したら</td></tr><tr><td>Volitional 意向形</td><td>重複しよう</td></tr><tr><td>Should べき形</td><td>重複すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>重複なさる</td></tr><tr><td>Humble 謙譲語</td><td>重複いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
これをDRYにしましょう。,Let's DRY this up.,DRY,これをDRYにしましょう。,これをDRYにしましょう。,Code Quality - Dry,polite,DRY (don't repeat),,
このメソッドのリファクタリングを検討してください。,Consider refactoring this method.,リファクタリング,このメソッドのリファクタリングを検討【けんとう】してください。,このメソッドのリファクタリングを検討【けんとう】してください。,Code Quality - Refactoring,polite,refactoring,,
これを別の関数に抽出してください。,Extract this into a separate function.,抽出,これを別【べつ】の関数【かんすう】に抽出【ちゅうしゅつ】してください。,これを別【べつ】の関数【かんすう】に抽出【ちゅうしゅつ】してください。,Data - Etl,polite,extract,"<ruby class=""vocab"">抽出<rt><span class=""pitch-l"">ちゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">しゅ</span><span class=""pitch-h"">つ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 抽出 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>抽出する</td></tr><tr><td>Polite ます形</td><td>抽出します</td></tr><tr><td>Polite Negative ません形</td><td>抽出しません</td></tr><tr><td>Te-form て形</td><td>抽出して</td></tr><tr><td>Polite Past ました形</td><td>抽出しました</td></tr><tr><td>Progressive ている形</td><td>抽出しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>抽出できる</td></tr><tr><td>Passive 受身形</td><td>抽出される</td></tr><tr><td>Conditional たら形</td><td>抽出したら</td></tr><tr><td>Volitional 意向形</td><td>抽出しよう</td></tr><tr><td>Should べき形</td><td>抽出すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>抽出なさる</td></tr><tr><td>Humble 謙譲語</td><td>抽出いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
この変数はインライン化できます。,You can inline this variable.,インライン,この変数【へんすう】はインライン化【か】できます。,この変数【へんすう】はインライン化【か】できます。,Code Quality - Refactoring,polite,inline,,
より説明的な名前にリネームしてください。,Rename to be more descriptive.,リネーム,より説明的【せつめいてき】な名前【なまえ】にリネームしてください。,より説明的【せつめいてき】な名前【なまえ】にリネームしてください。,Code Quality - Refactoring,polite,rename,,
このロジックを簡略化できます。,We can simplify this logic.,簡略化,このロジックを簡略化【かんりゃくか】できます。,このロジックを簡略化【かんりゃくか】できます。,Code Quality - Refactoring,polite,simplify,,
これが何をするか明確にしてもらえますか？,Can you clarify what this does?,明確に,これが何【なに】をするか明確【めいかく】にしてもらえますか？,これが何【なに】をするか明確【めいかく】にしてもらえますか？,Communication - Clarification,polite,clear,,
この関数をドキュメント化してください。,Please document this function.,ドキュメント化,この関数【かんすう】をドキュメント化【か】してください。,この関数【かんすう】をドキュメント化【か】してください。,Code Quality - Documentation,polite,document,,
