Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
ここまでの進捗をご報告します。,Here's our progress so far.,進捗,ここまでの進捗【しんちょく】をご報告【ほうこく】します。,ここまでの進捗【しんちょく】をご報告【ほうこく】します。,Presentation - Progress,polite,progress,"<ruby class=""vocab"">進捗<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ちょ</span><span class=""pitch-h"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 進捗 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>進捗する</td></tr><tr><td>Polite ます形</td><td>進捗します</td></tr><tr><td>Polite Negative ません形</td><td>進捗しません</td></tr><tr><td>Te-form て形</td><td>進捗して</td></tr><tr><td>Polite Past ました形</td><td>進捗しました</td></tr><tr><td>Progressive ている形</td><td>進捗しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>進捗できる</td></tr><tr><td>Passive 受身形</td><td>進捗される</td></tr><tr><td>Conditional たら形</td><td>進捗したら</td></tr><tr><td>Volitional 意向形</td><td>進捗しよう</td></tr><tr><td>Should べき形</td><td>進捗すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>進捗なさる</td></tr><tr><td>Humble 謙譲語</td><td>進捗いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
現在の状態はグリーンです。,Current status is green.,状態,現在【げんざい】の状態【じょうたい】はグリーンです。,現在【げんざい】の状態【じょうたい】はグリーンです。,Presentation - Status,polite,state,"<ruby class=""vocab"">状態<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">た</span><span class=""pitch-h"">い</span></rt></ruby>",
では簡単なデモをお見せします。,Now I'll show a quick demo.,デモ,では簡単【かんたん】なデモをお見【み】せします。,では簡単【かんたん】なデモをお見【み】せします。,Presentation - Demo,polite,demo,"<ruby class=""vocab"">デモ<rt><span class=""pitch-h"">で</span><span class=""pitch-l"">も</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for デモ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>デモする</td></tr><tr><td>Polite ます形</td><td>デモします</td></tr><tr><td>Polite Negative ません形</td><td>デモしません</td></tr><tr><td>Te-form て形</td><td>デモして</td></tr><tr><td>Polite Past ました形</td><td>デモしました</td></tr><tr><td>Progressive ている形</td><td>デモしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>デモできる</td></tr><tr><td>Passive 受身形</td><td>デモされる</td></tr><tr><td>Conditional たら形</td><td>デモしたら</td></tr><tr><td>Volitional 意向形</td><td>デモしよう</td></tr><tr><td>Should べき形</td><td>デモすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>デモなさる</td></tr><tr><td>Humble 謙譲語</td><td>デモいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ウォークスルーをさせてください。,Let me do a walkthrough.,ウォークスルー,ウォークスルーをさせてください。,ウォークスルーをさせてください。,Presentation - Walkthrough,polite,walkthrough,"<span class=""vocab"">ウォークスルー</span>",
こちらがスクリーンショットです。,Here's a screenshot.,スクリーンショット,こちらがスクリーンショットです。,こちらがスクリーンショットです。,Presentation - Visual,polite,screenshot,"<span class=""vocab"">スクリーンショット</span>",
この図はフローを示しています。,This diagram shows the flow.,図,この図【ず】はフローを示【しめ】しています。,この図【ず】はフローを示【しめ】しています。,Presentation - Visual,polite,diagram,"<ruby class=""vocab"">図<rt><span class=""pitch-l"">ず</span></rt></ruby>",
このチャートでお分かりのように...,As you can see in this chart...,チャート,このチャートでお分【わ】かりのように...,このチャートでお分【わ】かりのように...,Presentation - Visual,polite,chart,"<ruby class=""vocab"">チャート<rt><span class=""pitch-h"">ちゃ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>",
グラフは改善を示しています。,The graph shows improvement.,グラフ,グラフは改善【かいぜん】を示【しめ】しています。,グラフは改善【かいぜん】を示【しめ】しています。,Presentation - Visual,polite,graph,"<ruby class=""vocab"">グラフ<rt><span class=""pitch-h"">ぐ</span><span class=""pitch-l"">ら</span><span class=""pitch-l"">ふ</span></rt></ruby>",
こちらが主要なメトリクスです。,Here are the key metrics.,メトリクス,こちらが主要【しゅよう】なメトリクスです。,こちらが主要【しゅよう】なメトリクスです。,Presentation - Data,polite,metrics,"<ruby class=""vocab"">メトリクス<rt><span class=""pitch-l"">め</span><span class=""pitch-h"">と</span><span class=""pitch-h"">り</span><span class=""pitch-l"">く</span><span class=""pitch-l"">す</span></rt></ruby>",
データが示すところによると...,The data shows that...,データ,データが示【しめ】すところによると...,データが示【しめ】すところによると...,Presentation - Data,polite,data,"<ruby class=""vocab"">データ<rt><span class=""pitch-h"">で</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">た</span></rt></ruby>",
こちらが結果です。,Here are the results.,結果,こちらが結果【けっか】です。,こちらが結果【けっか】です。,Presentation - Result,polite,result,"<ruby class=""vocab"">結果<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">か</span></rt></ruby>",
私たちの主な発見は...でした。,Our main finding was...,発見,私【わたし】たちの主【おも】な発見【はっけん】は...でした。,私【わたし】たちの主【おも】な発見【はっけん】は...でした。,Presentation - Finding,polite,discovery,"<ruby class=""vocab"">発見<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">け</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 発見 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>発見する</td></tr><tr><td>Polite ます形</td><td>発見します</td></tr><tr><td>Polite Negative ません形</td><td>発見しません</td></tr><tr><td>Te-form て形</td><td>発見して</td></tr><tr><td>Polite Past ました形</td><td>発見しました</td></tr><tr><td>Progressive ている形</td><td>発見しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>発見できる</td></tr><tr><td>Passive 受身形</td><td>発見される</td></tr><tr><td>Conditional たら形</td><td>発見したら</td></tr><tr><td>Volitional 意向形</td><td>発見しよう</td></tr><tr><td>Should べき形</td><td>発見すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>発見なさる</td></tr><tr><td>Humble 謙譲語</td><td>発見いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
これからの重要な洞察は...,Key insight from this...,洞察,これからの重要【じゅうよう】な洞察【どうさつ】は...,これからの重要【じゅうよう】な洞察【どうさつ】は...,Presentation - Insight,polite,insight,"<ruby class=""vocab"">洞察<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">う</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">つ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 洞察 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>洞察する</td></tr><tr><td>Polite ます形</td><td>洞察します</td></tr><tr><td>Polite Negative ません形</td><td>洞察しません</td></tr><tr><td>Te-form て形</td><td>洞察して</td></tr><tr><td>Polite Past ました形</td><td>洞察しました</td></tr><tr><td>Progressive ている形</td><td>洞察しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>洞察できる</td></tr><tr><td>Passive 受身形</td><td>洞察される</td></tr><tr><td>Conditional たら形</td><td>洞察したら</td></tr><tr><td>Volitional 意向形</td><td>洞察しよう</td></tr><tr><td>Should べき形</td><td>洞察すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>洞察なさる</td></tr><tr><td>Humble 謙譲語</td><td>洞察いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
学んだことには...が含まれます。,Lessons learned include...,学んだこと,学【まな】んだことには...が含【ふく】まれます。,学【まな】んだことには...が含【ふく】まれます。,Presentation - Lesson,polite,lessons learned,"<ruby class=""vocab"">学んだこと<rt>まなんだこと</rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 学んだこと (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>学ぶ</td></tr><tr><td>Polite ます形</td><td>学びます</td></tr><tr><td>Polite Negative ません形</td><td>学びません</td></tr><tr><td>Te-form て形</td><td>学んで</td></tr><tr><td>Polite Past ました形</td><td>学びました</td></tr><tr><td>Progressive ている形</td><td>学んでいます</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>学べる</td></tr><tr><td>Passive 受身形</td><td>学ばれる</td></tr><tr><td>Conditional たら形</td><td>学んだら</td></tr><tr><td>Volitional 意向形</td><td>学ぼう</td></tr><tr><td>Should べき形</td><td>学ぶべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>学ばれる</td></tr><tr><td>Humble 謙譲語</td><td>お学びする</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
重要な持ち帰りは...,Key takeaway is...,持ち帰り,重要【じゅうよう】な持【も】ち帰【かえ】りは...,重要【じゅうよう】な持【も】ち帰【かえ】りは...,Presentation - Takeaway,polite,takeaway,"<ruby class=""vocab"">持ち帰り<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ち</span><span class=""pitch-h"">か</span><span class=""pitch-h"">え</span><span class=""pitch-h"">り</span></rt></ruby>",
私の推奨は...です。,My recommendation is...,推奨,私【わたし】の推奨【すいしょう】は...です。,私【わたし】の推奨【すいしょう】は...です。,Presentation - Recommendation,polite,recommended,"<ruby class=""vocab"">推奨<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">い</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 推奨 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>推奨する</td></tr><tr><td>Polite ます形</td><td>推奨します</td></tr><tr><td>Polite Negative ません形</td><td>推奨しません</td></tr><tr><td>Te-form て形</td><td>推奨して</td></tr><tr><td>Polite Past ました形</td><td>推奨しました</td></tr><tr><td>Progressive ている形</td><td>推奨しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>推奨できる</td></tr><tr><td>Passive 受身形</td><td>推奨される</td></tr><tr><td>Conditional たら形</td><td>推奨したら</td></tr><tr><td>Volitional 意向形</td><td>推奨しよう</td></tr><tr><td>Should べき形</td><td>推奨すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>推奨なさる</td></tr><tr><td>Humble 謙譲語</td><td>推奨いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
次のステップは...です。,Next steps are...,次のステップ,次【つぎ】のステップは...です。,次【つぎ】のステップは...です。,Presentation - Next Steps,polite,step,"<ruby class=""vocab"">次のステップ<rt>つぎのステップ</rt></ruby>",
本日のアクションアイテムは...,Action items from today...,アクションアイテム,本日【ほんじつ】のアクションアイテムは...,本日【ほんじつ】のアクションアイテムは...,Presentation - Action Item,polite,action item,"<span class=""vocab"">アクションアイテム</span>",
ここまでで質問はありますか？,Any questions so far?,質問,ここまでで質問【しつもん】はありますか？,ここまでで質問【しつもん】はありますか？,Presentation - Q&A,polite,question,"<ruby class=""vocab"">質問<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">も</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 質問 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>質問する</td></tr><tr><td>Polite ます形</td><td>質問します</td></tr><tr><td>Polite Negative ません形</td><td>質問しません</td></tr><tr><td>Te-form て形</td><td>質問して</td></tr><tr><td>Polite Past ました形</td><td>質問しました</td></tr><tr><td>Progressive ている形</td><td>質問しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>質問できる</td></tr><tr><td>Passive 受身形</td><td>質問される</td></tr><tr><td>Conditional たら形</td><td>質問したら</td></tr><tr><td>Volitional 意向形</td><td>質問しよう</td></tr><tr><td>Should べき形</td><td>質問すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>質問なさる</td></tr><tr><td>Humble 謙譲語</td><td>質問いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
フィードバックをいただけると嬉しいです。,I'd love your feedback.,フィードバック,フィードバックをいただけると嬉【うれ】しいです。,フィードバックをいただけると嬉【うれ】しいです。,Presentation - Q&A,keigo,feedback,"<ruby class=""vocab"">フィードバック<rt><span class=""pitch-l"">ふぃ</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">ば</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for フィードバック (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>フィードバックする</td></tr><tr><td>Polite ます形</td><td>フィードバックします</td></tr><tr><td>Polite Negative ません形</td><td>フィードバックしません</td></tr><tr><td>Te-form て形</td><td>フィードバックして</td></tr><tr><td>Polite Past ました形</td><td>フィードバックしました</td></tr><tr><td>Progressive ている形</td><td>フィードバックしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>フィードバックできる</td></tr><tr><td>Passive 受身形</td><td>フィードバックされる</td></tr><tr><td>Conditional たら形</td><td>フィードバックしたら</td></tr><tr><td>Volitional 意向形</td><td>フィードバックしよう</td></tr><tr><td>Should べき形</td><td>フィードバックすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>フィードバックなさる</td></tr><tr><td>Humble 謙譲語</td><td>フィードバックいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
懸念点はありますか？,Any concerns?,懸念,懸念【けねん】点【てん】はありますか？,懸念【けねん】点【てん】はありますか？,Presentation - Q&A,polite,concern,"<ruby class=""vocab"">懸念<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 懸念 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>懸念する</td></tr><tr><td>Polite ます形</td><td>懸念します</td></tr><tr><td>Polite Negative ません形</td><td>懸念しません</td></tr><tr><td>Te-form て形</td><td>懸念して</td></tr><tr><td>Polite Past ました形</td><td>懸念しました</td></tr><tr><td>Progressive ている形</td><td>懸念しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>懸念できる</td></tr><tr><td>Passive 受身形</td><td>懸念される</td></tr><tr><td>Conditional たら形</td><td>懸念したら</td></tr><tr><td>Volitional 意向形</td><td>懸念しよう</td></tr><tr><td>Should べき形</td><td>懸念すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>懸念なさる</td></tr><tr><td>Humble 謙譲語</td><td>懸念いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
コメントや提案はありますか？,Comments or suggestions?,コメント,コメントや提案【ていあん】はありますか？,コメントや提案【ていあん】はありますか？,Presentation - Q&A,polite,comment,"<ruby class=""vocab"">コメント<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">め</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for コメント (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>コメントする</td></tr><tr><td>Polite ます形</td><td>コメントします</td></tr><tr><td>Polite Negative ません形</td><td>コメントしません</td></tr><tr><td>Te-form て形</td><td>コメントして</td></tr><tr><td>Polite Past ました形</td><td>コメントしました</td></tr><tr><td>Progressive ている形</td><td>コメントしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>コメントできる</td></tr><tr><td>Passive 受身形</td><td>コメントされる</td></tr><tr><td>Conditional たら形</td><td>コメントしたら</td></tr><tr><td>Volitional 意向形</td><td>コメントしよう</td></tr><tr><td>Should べき形</td><td>コメントすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>コメントなさる</td></tr><tr><td>Humble 謙譲語</td><td>コメントいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
明確化を加えさせてください。,Let me add some clarification.,明確化,明確化【めいかくか】を加【くわ】えさせてください。,明確化【めいかくか】を加【くわ】えさせてください。,Presentation - Transition,polite,clarify,"<ruby class=""vocab"">明確化<rt>めいかくか</rt></ruby>",
例えば...,For example...,例,例【たと】えば...,例【たと】えば、...,Presentation - Example,polite,example,"<ruby class=""vocab"">例<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">と</span></rt></ruby>",
具体的にはこれは...を意味します。,"Specifically, this means...",具体的に,具体的【ぐたいてき】にはこれは...を意味【いみ】します。,具体的【ぐたいてき】には、これは...を意味【いみ】します。,Presentation - Transition,polite,specifically,"<ruby class=""vocab"">具体的に<rt>ぐたいてきに</rt></ruby>",
