Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
速度のためにエッジでキャッシュしてください。,Cache at the edge for speed.,エッジ,速度【そくど】のためにエッジでキャッシュしてください。,速度【そくど】のためにエッジでキャッシュしてください。,Infrastructure - Edge,polite,edge,"<ruby class=""vocab"">エッジ<rt><span class=""pitch-h"">え</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">じ</span></rt></ruby>",
ローンチ前にキャッシュをウォームアップしてください。,Warm up the cache before launch.,ウォームアップ,ローンチ前【まえ】にキャッシュをウォームアップしてください。,ローンチ前【まえ】にキャッシュをウォームアップしてください。,Performance - Caching,polite,warm up,"<span class=""vocab"">ウォームアップ</span>",
コールドキャッシュは最初の読み込みを遅くします。,Cold cache causes slow first load.,コールド,コールドキャッシュは最初【さいしょ】の読【よ】み込【こ】みを遅【おそ】くします。,コールドキャッシュは最初【さいしょ】の読【よ】み込【こ】みを遅【おそ】くします。,Performance - Caching,polite,cold,"<ruby class=""vocab"">コールド<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span><span class=""pitch-l"">ど</span></rt></ruby>",
ストレージが不足しています。,We're running low on storage.,ストレージ,ストレージが不足【ふそく】しています。,ストレージが不足【ふそく】しています。,Infrastructure - Storage,polite,storage,"<ruby class=""vocab"">ストレージ<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">と</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">じ</span></rt></ruby>",
画像はBlobとして保存してください。,Store images as blobs.,Blob,画像【がぞう】はBlobとして保存【ほぞん】してください。,画像【が、ぞう】はBlobとして保存【ほぞん】してください。,Infrastructure - Storage,polite,Blob (binary),"<span class=""vocab"">Blob</span>",
オブジェクトストレージにはS3を使ってください。,Use S3 for object storage.,オブジェクトストレージ,オブジェクトストレージにはS3を使【つか】ってください。,オブジェクトストレージにはS3を使【つか】ってください。,Infrastructure - Storage,polite,storage,"<span class=""vocab"">オブジェクトストレージ</span>",
ローカルファイルシステムに書き込んでください。,Write to the local file system.,ファイルシステム,ローカルファイルシステムに書【か】き込【こ】んでください。,ローカルファイルシステムに書【か】き込【こ】んでください。,Infrastructure - Storage,polite,file system,"<span class=""vocab"">ファイルシステム</span>",
データには永続ストレージを使ってください。,Use persistent storage for data.,永続,データには永続【えいぞく】ストレージを使【つか】ってください。,データには永続【えいぞく】ストレージを使【つか】ってください。,Infrastructure - Storage,polite,persistent,"<ruby class=""vocab"">永続<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">く</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 永続 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>永続する</td></tr><tr><td>Polite ます形</td><td>永続します</td></tr><tr><td>Polite Negative ません形</td><td>永続しません</td></tr><tr><td>Te-form て形</td><td>永続して</td></tr><tr><td>Polite Past ました形</td><td>永続しました</td></tr><tr><td>Progressive ている形</td><td>永続しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>永続できる</td></tr><tr><td>Passive 受身形</td><td>永続される</td></tr><tr><td>Conditional たら形</td><td>永続したら</td></tr><tr><td>Volitional 意向形</td><td>永続しよう</td></tr><tr><td>Should べき形</td><td>永続すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>永続なさる</td></tr><tr><td>Humble 謙譲語</td><td>永続いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
コンテナストレージは一時的です。,Container storage is ephemeral.,一時的,コンテナストレージは一時的【いちじてき】です。,コンテナストレージは一時的【いちじてき】です。,Infrastructure - Storage,polite,temporary,"<ruby class=""vocab"">一時的<rt>いちじてき</rt></ruby>",
EBSはブロックストレージを提供します。,EBS provides block storage.,ブロックストレージ,EBSはブロックストレージを提供【ていきょう】します。,EBSはブロックストレージを提供【ていきょう】します。,Infrastructure - Storage,polite,blocked,"<span class=""vocab"">ブロックストレージ</span>",
パフォーマンス向上のためにIOPSを増やしてください。,Increase IOPS for better performance.,IOPS,パフォーマンス向上【こうじょう】のためにIOPSを増【ふ】やしてください。,パフォーマンス向上【こうじょう】のためにIOPSを増【ふ】やしてください。,Performance - Iops,polite,IOPS,"<span class=""vocab"">IOPS</span>",
ストレージスループットが制限されています。,Storage throughput is limited.,スループット,ストレージスループットが制限【せいげん】されています。,ストレージスループットが制限【せいげん】されています。,Performance - Throughput,polite,throughput,"<ruby class=""vocab"">スループット<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">る</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ぷ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
クロスリージョンレプリケーションを有効にしてください。,Enable cross-region replication.,レプリケーション,クロスリージョンレプリケーションを有効【ゆうこう】にしてください。,クロスリージョンレプリケーションを有効【ゆうこう】にしてください。,Database - Replication,polite,replication,"<ruby class=""vocab"">レプリケーション<rt><span class=""pitch-l"">れ</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">り</span><span class=""pitch-h"">け</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
強い一貫性か結果整合性かを選んでください。,Strong consistency vs eventual.,一貫性,強【つよ】い一貫性【いっかんせい】か結果【けっか】整合性【せいごうせい】かを選【えら】んでください。,強【つよ】い一貫性【いっかんせい】か結果【けっか】整合性【せいごうせい】かを選【えら】んでください。,Database - Consistency,polite,consistency,"<ruby class=""vocab"">一貫性<rt>いっかんせい</rt></ruby>",
S3は結果整合性を持っています。,S3 has eventual consistency.,結果整合性,S3は結果【けっか】整合性【せいごうせい】を持【も】っています。,S3は結果【けっか】整合性【せいごうせい】を持【も】っています。,Database - Consistency,polite,consistency,"<ruby class=""vocab"">結果整合性<rt>けっかせいごうせい</rt></ruby>",
S3は11ナインの耐久性を持っています。,S3 has 11 9s of durability.,耐久性,S3は11ナインの耐久性【たいきゅうせい】を持【も】っています。,S3は11ナインの耐久性【たいきゅうせい】を持【も】っています。,Infrastructure - Durability,polite,durability,"<ruby class=""vocab"">耐久性<rt>たいきゅうせい</rt></ruby>",
高可用性のために設計してください。,Design for high availability.,高可用性,高【こう】可用性【かようせい】のために設計【せっけい】してください。,高【こう】可用性【かようせい】のために設計【せっけい】してください。,Infrastructure - Ha,polite,availability,"<ruby class=""vocab"">高可用性<rt>こうかようせい</rt></ruby>",
冗長性を組み込んでください。,Build in redundancy.,冗長性,冗長性【じょうちょうせい】を組【く】み込【こ】んでください。,冗長性【じょうちょうせい】を組【く】み込【こ】んでください。,Infrastructure - Redundancy,polite,redundancy,"<ruby class=""vocab"">冗長性<rt>じょうちょうせい</rt></ruby>",
毎日のバックアップをスケジュールしてください。,Schedule daily backups.,バックアップ,毎日【まいにち】のバックアップをスケジュールしてください。,毎日【まいにち】のバックアップをスケジュールしてください。,Infrastructure - Backup,polite,backup,"<ruby class=""vocab"">バックアップ<rt><span class=""pitch-l"">ば</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">あ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">ぷ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for バックアップ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>バックアップする</td></tr><tr><td>Polite ます形</td><td>バックアップします</td></tr><tr><td>Polite Negative ません形</td><td>バックアップしません</td></tr><tr><td>Te-form て形</td><td>バックアップして</td></tr><tr><td>Polite Past ました形</td><td>バックアップしました</td></tr><tr><td>Progressive ている形</td><td>バックアップしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>バックアップできる</td></tr><tr><td>Passive 受身形</td><td>バックアップされる</td></tr><tr><td>Conditional たら形</td><td>バックアップしたら</td></tr><tr><td>Volitional 意向形</td><td>バックアップしよう</td></tr><tr><td>Should べき形</td><td>バックアップすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>バックアップなさる</td></tr><tr><td>Humble 謙譲語</td><td>バックアップいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
バックアップからリストアしてください。,Restore from backup.,リストア,バックアップからリストアしてください。,バックアップからリストアしてください。,Infrastructure - Restore,polite,store,"<ruby class=""vocab"">リストア<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">す</span><span class=""pitch-h"">と</span><span class=""pitch-h"">あ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for リストア (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>リストアする</td></tr><tr><td>Polite ます形</td><td>リストアします</td></tr><tr><td>Polite Negative ません形</td><td>リストアしません</td></tr><tr><td>Te-form て形</td><td>リストアして</td></tr><tr><td>Polite Past ました形</td><td>リストアしました</td></tr><tr><td>Progressive ている形</td><td>リストアしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>リストアできる</td></tr><tr><td>Passive 受身形</td><td>リストアされる</td></tr><tr><td>Conditional たら形</td><td>リストアしたら</td></tr><tr><td>Volitional 意向形</td><td>リストアしよう</td></tr><tr><td>Should べき形</td><td>リストアすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>リストアなさる</td></tr><tr><td>Humble 謙譲語</td><td>リストアいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
セキュリティは最優先事項です。,Security is our top priority.,セキュリティ,セキュリティは最【さい】優先【ゆうせん】事項【じこう】です。,セキュリティは最【さい】優先【ゆうせん】事項【じこう】です。,Security - General,polite,security,"<ruby class=""vocab"">セキュリティ<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">きゅ</span><span class=""pitch-l"">り</span><span class=""pitch-l"">てぃ</span></rt></ruby>",
セキュリティの脆弱性を見つけました。,We found a security vulnerability.,脆弱性,セキュリティの脆弱性【ぜいじゃくせい】を見【み】つけました。,セキュリティの脆弱性【ぜいじゃくせい】を見【み】つけました。,Security - Vulnerability,polite,vulnerability,"<ruby class=""vocab"">脆弱性<rt>ぜいじゃくせい</rt></ruby>",
誰かがエクスプロイトする前にパッチを当ててください。,Patch before someone exploits it.,エクスプロイト,誰【だれ】かがエクスプロイトする前【まえ】にパッチを当【あ】ててください。,誰【だれ】かがエクスプロイトする前【まえ】にパッチを当【あ】ててください。,Security - Vulnerability,polite,exploit,"<ruby class=""vocab"">エクスプロイト<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">く</span><span class=""pitch-h"">す</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">と</span></rt></ruby>",
攻撃の試みを検出しました。,We detected an attack attempt.,攻撃,攻撃【こうげき】の試【こころ】みを検出【けんしゅつ】しました。,攻撃【こうげき】の試【こころ】みを検出【けんしゅつ】しました。,Security - Attack,polite,attack,"<ruby class=""vocab"">攻撃<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">げ</span><span class=""pitch-h"">き</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 攻撃 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>攻撃する</td></tr><tr><td>Polite ます形</td><td>攻撃します</td></tr><tr><td>Polite Negative ません形</td><td>攻撃しません</td></tr><tr><td>Te-form て形</td><td>攻撃して</td></tr><tr><td>Polite Past ました形</td><td>攻撃しました</td></tr><tr><td>Progressive ている形</td><td>攻撃しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>攻撃できる</td></tr><tr><td>Passive 受身形</td><td>攻撃される</td></tr><tr><td>Conditional たら形</td><td>攻撃したら</td></tr><tr><td>Volitional 意向形</td><td>攻撃しよう</td></tr><tr><td>Should べき形</td><td>攻撃すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>攻撃なさる</td></tr><tr><td>Humble 謙譲語</td><td>攻撃いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
データ侵害は発生していません。,No data breach occurred.,侵害,データ侵害【しんがい】は発生【はっせい】していません。,データ侵害【しんが、い】は発生【はっせい】していません。,Security - Breach,polite,breach,"<ruby class=""vocab"">侵害<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">が</span><span class=""pitch-h"">い</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 侵害 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>侵害する</td></tr><tr><td>Polite ます形</td><td>侵害します</td></tr><tr><td>Polite Negative ません形</td><td>侵害しません</td></tr><tr><td>Te-form て形</td><td>侵害して</td></tr><tr><td>Polite Past ました形</td><td>侵害しました</td></tr><tr><td>Progressive ている形</td><td>侵害しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>侵害できる</td></tr><tr><td>Passive 受身形</td><td>侵害される</td></tr><tr><td>Conditional たら形</td><td>侵害したら</td></tr><tr><td>Volitional 意向形</td><td>侵害しよう</td></tr><tr><td>Should べき形</td><td>侵害すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>侵害なさる</td></tr><tr><td>Humble 謙譲語</td><td>侵害いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
保存時にデータを暗号化してください。,Encrypt data at rest.,暗号化,保存【ほぞん】時【とき】にデータを暗号化【あんごうか】してください。,保存【ほぞん】時【とき】にデータを暗号化【あんごうか】してください。,Security - Encryption,polite,encryption,"<ruby class=""vocab"">暗号化<rt>あんごうか</rt></ruby>",
サーバー側で復号化してください。,Decrypt on the server side.,復号化,サーバー側【がわ】で復号化【ふくごうか】してください。,サーバー側【が、わ】で復号化【ふくごうか】してください。,Security - Encryption,polite,decrypt,"<ruby class=""vocab"">復号化<rt>ふくごうか</rt></ruby>",
AES暗号化を使ってください。,Use AES encryption.,暗号化,AES暗号化【あんごうか】を使【つか】ってください。,AES暗号化【あんごうか】を使【つか】ってください。,Security - Encryption,polite,encryption,"<ruby class=""vocab"">暗号化<rt>あんごうか</rt></ruby>",
bcryptでパスワードをハッシュ化してください。,Hash passwords with bcrypt.,ハッシュ,bcryptでパスワードをハッシュ化【か】してください。,bcryptでパスワードをハッシュ化【か】してください。,Security - Hashing,polite,hash,"<ruby class=""vocab"">ハッシュ<rt><span class=""pitch-h"">は</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しゅ</span></rt></ruby>",
ハッシュにソルトを追加してください。,Add a salt to the hash.,ソルト,ハッシュにソルトを追加【ついか】してください。,ハッシュにソルトを追加【ついか】してください。,Security - Hashing,polite,salt,"<ruby class=""vocab"">ソルト<rt><span class=""pitch-h"">そ</span><span class=""pitch-l"">る</span><span class=""pitch-l"">と</span></rt></ruby>",
TLS 1.3を使ってください。,Use TLS 1.3.,TLS,TLS 1.3を使【つか】ってください。,TLS 1.3を使【つか】ってください。,Security - Tls,polite,TLS,"<span class=""vocab"">TLS</span>",
常にHTTPSを使ってください。,Always use HTTPS.,HTTPS,常【つね】にHTTPSを使【つか】ってください。,常【つね】にHTTPSを使【つか】ってください。,Security - Https,polite,HTTPS,"<span class=""vocab"">HTTPS</span>",
SSL証明書を更新してください。,Renew the SSL certificate.,証明書,SSL証明書【しょうめいしょ】を更新【こうしん】してください。,SSL証明書【しょうめいしょ】を更新【こうしん】してください。,Security - Certificate,polite,certificate,"<ruby class=""vocab"">証明書<rt>しょうめいしょ</rt></ruby>",
二要素認証を実装してください。,Implement two-factor authentication.,二要素認証,二【に】要素【ようそ】認証【にんしょう】を実装【じっそう】してください。,二【に】要素【ようそ】認証【にんしょう】を実装【じっそう】してください。,Security - 2Fa,polite,2FA,"<ruby class=""vocab"">二要素認証<rt>にようそにんしょう</rt></ruby>",
このアクションの認可を確認してください。,Check authorization for this action.,認可,このアクションの認可【にんか】を確認【かくにん】してください。,このアクションの認可【にんか】を確認【かくにん】してください。,Security - Authorization,polite,authorization,"<ruby class=""vocab"">認可<rt><span class=""pitch-l"">に</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">か</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 認可 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>認可する</td></tr><tr><td>Polite ます形</td><td>認可します</td></tr><tr><td>Polite Negative ません形</td><td>認可しません</td></tr><tr><td>Te-form て形</td><td>認可して</td></tr><tr><td>Polite Past ました形</td><td>認可しました</td></tr><tr><td>Progressive ている形</td><td>認可しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>認可できる</td></tr><tr><td>Passive 受身形</td><td>認可される</td></tr><tr><td>Conditional たら形</td><td>認可したら</td></tr><tr><td>Volitional 意向形</td><td>認可しよう</td></tr><tr><td>Should べき形</td><td>認可すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>認可なさる</td></tr><tr><td>Humble 謙譲語</td><td>認可いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ロールベースのアクセス制御を実装してください。,Implement role-based access control.,アクセス制御,ロールベースのアクセス制御【せいぎょ】を実装【じっそう】してください。,ロールベースのアクセス制御【せいぎょ】を実装【じっそう】してください。,Security - Access Control,polite,access control,"<ruby class=""vocab"">アクセス制御<rt>せいぎょ</rt></ruby>",
権限にはRBACを使ってください。,Use RBAC for permissions.,RBAC,権限【けんげん】にはRBACを使【つか】ってください。,権限【けんげん】にはRBACを使【つか】ってください。,Security - Rbac,polite,RBAC,"<span class=""vocab"">RBAC</span>",
ユーザーには権限がありません。,Users don't have permission.,権限,ユーザーには権限【けんげん】がありません。,ユーザーには権限【けんげん】が、ありません。,Security - Permission,polite,permission,"<ruby class=""vocab"">権限<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span></rt></ruby>",
最小権限の原則を使ってください。,Use least privilege principle.,最小権限,最小【さいしょう】権限【けんげん】の原則【げんそく】を使【つか】ってください。,最小【さいしょう】権限【けんげん】の原則【げんそく】を使【つか】ってください。,Security - Least Privilege,polite,least privilege,"<ruby class=""vocab"">最小権限<rt>さいしょうけんげん</rt></ruby>",
認証情報を定期的にローテーションしてください。,Rotate credentials regularly.,認証情報,認証【にんしょう】情報【じょうほう】を定期的【ていきてき】にローテーションしてください。,認証【にんしょう】情報【じょうほう】を定期的【ていきてき】にローテーションしてください。,Security - Credentials,polite,credentials,"<ruby class=""vocab"">認証情報<rt>にんしょうじょうほう</rt></ruby>",
トークンの有効期限が切れました。,The token is expired.,有効期限,トークンの有効【ゆうこう】期限【きげん】が切【き】れました。,トークンの有効【ゆうこう】期限【きげん】が切【き】れました。,Security - Token,polite,expiration,"<ruby class=""vocab"">有効期限<rt>ゆうこうきげん</rt></ruby>",
ログアウト時にセッションを無効化してください。,Invalidate the session on logout.,セッション,ログアウト時【とき】にセッションを無効化【むこうか】してください。,ログアウト時【とき】にセッションを無効化【むこうか】してください。,Security - Session,polite,session,"<ruby class=""vocab"">セッション<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
トークンをCookieに保存してください。,Store the token in a cookie.,Cookie,トークンをCookieに保存【ほぞん】してください。,トークンをCookieに保存【ほぞん】してください。,Security - Cookie,polite,Cookie,"<span class=""vocab"">Cookie</span>",
XSSを防ぐために入力をサニタイズしてください。,Sanitize input to prevent XSS.,XSS,XSSを防【ふせ】ぐために入力【にゅうりょく】をサニタイズしてください。,XSSを防【ふせ】ぐために入力【にゅうりょく】をサニタイズしてください。,Security - Xss,polite,XSS,"<span class=""vocab"">XSS</span>",
CSRF保護を追加してください。,Add CSRF protection.,CSRF,CSRF保護【ほご】を追加【ついか】してください。,CSRF保護【ほご】を追加【ついか】してください。,Security - Csrf,polite,CSRF,"<span class=""vocab"">CSRF</span>",
パラメータ化されたクエリを使ってください。,Use parameterized queries.,パラメータ化,パラメータ化【か】されたクエリを使【つか】ってください。,パラメータ化【か】されたクエリを使【つか】ってください。,Security - Injection Prevention,polite,parameter,"<ruby class=""vocab"">パラメータ化<rt>か</rt></ruby>",
