tier,row,old_guid,new_guid,old_sentence,new_sentence
2,155,i!}&BfQ$[~,"PJ,AfW+zIz",テストですべてのエッジケースをカバーしてください。,テストですべてのエッジケースをカバーすべきです。
2,156,IwAOelvhX(,"IHD,KJ@C4w",マージ前に完全なテストスイートを実行してください。,マージ前に完全なテストスイートを実行しておいてください。
2,166,GvYKSZVl7Y,Ez%^{bF}Gz,50個すべてのテストが合格しました。,50件すべてのチェックに合格しました。
2,168,Dk)4[W;EN,w!%-G9P|iB,今のところこのテストをスキップしてください。,今のところこのテストをスキップしてもらえますか？
2,169,Dai2qf!_!P,ps9u8^%.A/,このテストは不安定です。修正してください。,このテストは不安定です。修正をお願いします。
2,170,cmIgWy(h!$,"MzbEK,?!U`",このバグのリグレッションテストを追加してください。,このバグのリグレッションテストを追加してもらえますか？
2,173,Lv<XT.]7Ce,m3xURUBh#Z,デプロイ後にスモークテストを実行してください。,デプロイ後にスモークテストを実行しましょう。
2,174,K4{`-aK{!x,bT4Zxd^_xM,まず簡単なサニティチェックをしてください。,まず簡単なサニティチェックをしましょう。
2,178,G3MKlQkM`>,ML*gV]:qE},エラー用のネガティブテストを追加してください。,エラー用のネガティブテストを追加してもらえますか？
2,180,vsyE4)Xm}k,zSU}E=&ev_,限界点を見つけるためにストレステストをしてください。,限界点を見つけるためにストレステストをしましょう。
2,182,oCA>&;=(e:,r+x+I3X3rv,リリース前にUIを手動テストしてください。,リリース前にUIを手動テストした方がいいです。
2,183,N~biG)I1B3,DBT>wq@LMX,テストのためにQAに送ってください。,テストのためにQAに送ってもらえますか？
2,184,EO?H!8+t9$,cfMpp%-m/>,まずステージングでテストしてください。,まずステージングでテストした方がいいです。
2,192,jwn[OpQ1Qm,tWWxr{1hh.,詳細モードでテストを実行してください。,詳細モードでテストを実行してみてください。
2,193,lK[-V-@Get,G<b5CEzdx<,スナップショットテストを更新してください。,スナップショットテストを更新してもらえますか？
2,197,ms8Vyb6eN*,cXP9Z/YHE4,速度のためにテストを並列実行してください。,速度のためにテストを並列実行しましょう。
2,200,DzK7_h)J+$,"l6A,fp(j[e",テストレポートを生成してください。,テストレポートを生成してもらえますか？
3,2,H]Rj#m+Y5u,v@fR_Y=H1e,この変数の名前変更を検討してください。,細かい点ですが、この変数の名前変更を検討してください。
3,3,cTogp5cQ}J,JESW%~Xd`],ここにコメントを追加してください。,軽微ですが、ここにコメントを追加してください。
3,4,HU|WN[@F!!,GI1=i*r>Dn,これはメモリリークを引き起こします。,これは重大です。メモリリークを引き起こします。
3,5,oU2tw[iPPL,j6A3{IlD7^,まずセキュリティの問題を修正してください。,これはブロッカーです。まずセキュリティの問題を修正してください。
3,16,C6<j.0Y*65,hb<9%FZYxf,このPRは古くなっています。更新してください。,このPRは古くなっています。更新をお願いします。
3,20,"un}M{A$0h,",sJa7#.E^~d,スカッシュしてマージしてください。,スカッシュマージでお願いします。
3,21,ky}O~^n)Pu,zyD1;JU/qF,mainにリベースしてください。,mainにリベースしてもらえますか？
3,22,fJbq#`C^6~,i!4O-JaAkE,まずマージコンフリクトを解決してください。,まずマージコンフリクトを解決してもらえますか？
3,28,f#nP7^XJh|,"uwzm~,tV/o",マジックナンバーを避けて定数を使ってください。,マジックナンバーを避けて定数を使った方がいいです。
3,33,Ag@s_?/fkF,w^0=beR;#*,これを別の関数に抽出してください。,これを別の関数に抽出してもらえますか？
3,35,HrI}i30PY9,"iR?zc&,gDr",より説明的な名前にリネームしてください。,より説明的な名前にリネームしてもらえますか？
3,38,OvoIoT/*TE,rxSNp:c_8-,この関数をドキュメント化してください。,この関数をドキュメント化してもらえますか？
3,39,lw<Q%bg7&7,f0zNt3v+1g,理由を説明するコメントを追加してください。,理由を説明するコメントを追加してもらえますか？
3,40,n[pkQBB#/q,"h}T;,g7;y:",将来のクリーンアップのためにTODOを残してください。,将来のクリーンアップのためにTODOを残しておいてください。
3,41,yRw6YH.n;/,r?=vO;$O8H,既知の問題にFIXMEを追加してください。,既知の問題にFIXMEを追加してもらえますか？
3,47,ktS1MRRYd[,FGg?nzX]It,ここにnullチェックを追加してください。,ここにnullチェックを追加してもらえますか？
3,48,Fx;a__A^}|,cxzs_!;|R~,エラーハンドリングを改善してください。,エラーハンドリングを改善した方がいいです。
3,53,HRQt)5?Ygm,E7)j{ORCbW,ここでリポジトリパターンを使ってください。,ここはリポジトリパターンを使いましょう。
3,54,KOB^PL#3PR,Gfh``IBI&],これを小さなコンポーネントに分割してください。,これを小さなコンポーネントに分割した方がいいです。
3,55,O=H1}}d4qW,v;7=|oO];j,このロジック用にサービスを作成してください。,このロジック用にサービスを作成しましょう。
3,57,x=wo]R|/>k,C_/cd:_Tkt,認証用にミドルウェアを追加してください。,認証用にミドルウェアを追加してもらえますか？
3,58,M<^$pzA|[#,i:6?hW3n@A,データアクセス層を分離してください。,データアクセス層を分離すべきです。
3,59,l0z&VF!%ll,jK:wc|MUZL,まずインターフェースを定義してください。,まずインターフェースを定義しましょう。
3,61,y~uUC*DRz/,dzw$PP?[GF,実装の詳細をカプセル化してください。,実装の詳細をカプセル化すべきです。
3,62,t+GwdTU?T+,n1oHiTMx{M,継承より合成を優先してください。,継承より合成を優先すべきです。
3,65,J)Jl;0^OI|,C1{1_dxSN6,これをシングルトンにしてください。,これをシングルトンにしてもらえますか？
3,67,b%E(OoI/NQ,nWwkRKY4}F,オブザーバーパターンを実装してください。,オブザーバーパターンを実装してもらえますか？
3,71,l2?Oo)DUy.,cN;+kv*?_H,コードをモジュラーに保ってください。,コードはモジュラーに保つべきです。
3,73,kw?$n}C+fa,l|$|Q/eGL9,保守可能なコードを書いてください。,保守可能なコードを書きましょう。
3,81,EpAfaSMAHW,c#-a&A%Oh_,関心の分離に従ってください。,関心の分離に従うべきです。
3,83,N#mJ$96E}J,FJAG}P3:(A,SOLID原則を適用してください。,SOLID原則を適用しましょう。
3,89,"k2,}O17f,G",cZt(hk`~rk,既存のライブラリを使ってください。,既存のライブラリを使った方がいいです。
3,90,m|-9o$|g4h,iBK3b4pXk@,公式SDKを使ってください。,公式SDKを使った方がいいです。
3,92,udp[cUQ=z;,gc$Tv;fUeo,まずAPIコントラクトを定義してください。,まずAPIコントラクトを定義しましょう。
3,96,I@^|4.#:.f,uWD8{3IKz3,古いエンドポイントを非推奨にしてください。,古いエンドポイントを非推奨にしましょう。
3,97,xxa&cq)`mT,"wVia,|E/6X",このAPIは来年サンセットします。,このAPIは来年サンセット予定です。
3,98,yu^<)iZ)PN,yuYv_Heb[+,マイグレーションを慎重に計画してください。,マイグレーションを慎重に計画すべきです。
3,104,gF?BGcDK*0,"whK,}F$u,T",このためにDockerfileを作成してください。,このためにDockerfileを作成してもらえますか？
3,105,KC~PDjXKmM,"pbs,7}0d:y",新しいDockerイメージをビルドしてください。,新しいDockerイメージをビルドしてもらえますか？
3,109,A@dW>E3X3g,oAr`ukp;gy,クラスターにノードを追加してください。,クラスターにノードを追加してもらえますか？
3,111,l1$fy@*ydo,K/3@ZX;of>,新しいデプロイメントを作成してください。,新しいデプロイメントを作成してもらえますか？
3,114,D#$J]~1S/B,x8Lrvr)vl%,ステージング名前空間にデプロイしてください。,ステージング名前空間にデプロイしてもらえますか？
3,116,cT7B)DJ{IX,L}mL>q07J^,機密データはSecretsに保存してください。,機密データはSecretsに保存すべきです。
3,118,jy4j?h{EIC,xctxU$Yf}},自動デプロイ用にCI/CDを設定してください。,自動デプロイ用にCI/CDを設定しましょう。
3,120,w#XczcB[!J,xbPCN<1&4=,新しいビルドをトリガーしてください。,新しいビルドをトリガーしてもらえますか？
3,122,Ka-#lr:9MG,eSWhvuatdK,新しいリリースを作成してください。,新しいリリースを作成してもらえますか？
3,124,vsfZbZaSN),N9x<Oo(*vo,前のバージョンにロールバックしてください。,前のバージョンにロールバックしてもらえますか？
3,125,DcEAKsrG`?,"N%Lx`,zCD4",ブルーグリーンデプロイメントを使ってください。,ブルーグリーンデプロイメントを使った方がいいです。
3,126,LjnCz;wyR/,"xs,;sf^0UA",まずカナリアリリースをしてください。,まずカナリアリリースをしましょう。
3,127,Lth-0XgFpw,yjKoIS+w^G,フィーチャーフラグの後ろに隠してください。,フィーチャーフラグの後ろに隠した方がいいです。
3,128,B;x=y3ZHo`,pZbxjK-XCR,ロードバランサーの後ろに置いてください。,ロードバランサーの後ろに置いた方がいいです。
3,129,EW^m-B<Ni7,wfLc&bip5.,トラフィックスパイク用にオートスケーリングを有効にしてください。,トラフィックスパイク用にオートスケーリングを有効にしてもらえますか？
3,133,E:uh8vDF3U,OpQIOMtIGu,サーバープロビジョニングを自動化してください。,サーバープロビジョニングを自動化しましょう。
3,134,v{)T#krlb0,fB3Moh*S$&,インフラストラクチャをコードとして管理してください。,インフラストラクチャをコードとして管理すべきです。
3,136,yBtz11Bh<l,P);tJJ!>+m,新しいリソース用にTerraformを書いてください。,新しいリソース用にTerraformを書いてもらえますか？
3,138,"qUV^,D]d]5",ce{wJhuU^/,設定ファイルを更新してください。,設定ファイルを更新してもらえますか？
3,140,JTIOp*M}yx,jVBMBy[aiy,.envファイルを確認してください。,.envファイルを確認してもらえますか？
3,141,s%#{=}X?L*,b:7wds8V4),まずステージングにデプロイしてください。,まずステージングにデプロイした方がいいです。
3,144,v&7q_1r`VU,d%6]fx=_&e,まずローカルで実行してください。,まずローカルで実行した方がいいです。
3,148,j&R6=aUo!4,v:pOdNC@)-,ファイアウォールルールを確認してください。,ファイアウォールルールを確認してもらえますか？
3,149,Kk0i~K(13h,Dzf=53V89Y,セキュリティグループを更新してください。,セキュリティグループを更新してもらえますか？
3,165,r#5FWe^<~6,eR~JPhysrL,このためにIAMロールを作成してください。,このためにIAMロールを作成してもらえますか？
3,166,q}GJtX+fc^,s6r1hK~|fl,適切なIAMポリシーを付与してください。,適切なIAMポリシーを付与してもらえますか？
3,170,F&W{=Z0i`B,g.B*E&{O*<,CloudWatchアラームを設定してください。,CloudWatchアラームを設定してもらえますか？
3,177,Num+tNa!bX,J@Qjgqm9[},ヘルスチェックエンドポイントを設定してください。,ヘルスチェックエンドポイントを設定してもらえますか？
3,178,tirudchF4J,bd*UJ:Be$@,複数のAZにデプロイしてください。,複数のAZにデプロイすべきです。
3,182,I:j0uWL}&Z,HkOt8E;Jpg,インターネットゲートウェイを接続してください。,インターネットゲートウェイを接続してもらえますか？
3,183,h;8rj{>)G;,AIBUI!_t4?,EBSボリュームを接続してください。,EBSボリュームを接続してもらえますか？
3,184,tTh_-9yYRU,e<qu$d?J^P,変更前にスナップショットを取ってください。,変更前にスナップショットを取っておいてください。
3,185,yFfpbzVX1A,LFN9B)U&lQ,このインスタンスからAMIを作成してください。,このインスタンスからAMIを作成してもらえますか？
3,200,buhc[NO!<,yn@ByE:$F!,Cost Explorerでコストを確認してください。,Cost Explorerでコストを確認してもらえますか？
3,202,m5?jqa^^p0,(je*0ly;C,このクエリを最適化してください。,このクエリを最適化してもらえますか？
3,204,Mq=%PUaRL,"x,pD?,jS;z",APIを速くしてください。,APIをもっと速くする必要があります。
3,205,uE<6C;e1.9,hqw_-Vq<*C,レイテンシーを削減してください。,レイテンシーを削減する必要があります。
3,207,Cv|60$I3ZQ,c%|e#oj>q<,スループットを向上させてください。,スループットを向上させてもらえますか？
3,209,wleyS[bjcF,"B,-fzc{!%I",問題を見つけるためにコードをプロファイルしてください。,問題を見つけるためにコードをプロファイルしましょう。
3,210,faPV3^Ir6X,FB|:sEVKoT,変更前後でベンチマークを実行してください。,変更前後でベンチマークを実行しましょう。
3,211,r6>]~x<>17,F^&Z-5u/00,このメトリクスを追跡してください。,このメトリクスを追跡してもらえますか？
3,212,m==^O(0F{y,dSym&WLxb),モニタリングダッシュボードを確認してください。,モニタリングダッシュボードを確認してもらえますか？
3,213,yx@(%87oh5,n2pP)#GU+0,エラー用にアラートを設定してください。,エラー用にアラートを設定しておいてください。
3,216,g=eT`YpQ1k,x^5P_5Eo?z,可観測性を改善してください。,可観測性を改善しましょう。
3,217,oZew3l[G]M,gU>Ltu=Z.,ロギングを追加してください。,ロギングを追加してもらえますか？
3,218,c{B1N<RfJK,"PLg<,Hyerv",分散トレーシングを使ってください。,分散トレーシングを使いましょう。
3,220,"j,3YNtI|Rt",N7#1(<?E#o,ログでトレースIDを探してください。,ログでトレースIDを探してもらえますか？
3,221,KubZMLtvxB,O4&[eYBA6j,インサイトのためにAPMを確認してください。,インサイトのためにAPMを確認してもらえますか？
3,225,bg{nx4GeeY,mYu*T7bq9),Grafanaでダッシュボードを作成してください。,Grafanaでダッシュボードを作成しましょう。
3,228,d;gvWr(36:,p%}Xj55a!V,99.9%のアップタイムを維持してください。,99.9%のアップタイムを維持すべきです。
3,231,wZ?}FoWuDh,"PIO,^u@iIB",サービスのSLOを定義してください。,サービスのSLOを定義しましょう。
3,236,P`Wxk&j=ke,LU@1|Kcf)T,99パーセンタイルを確認してください。,99パーセンタイルを確認してもらえますか？
3,241,j3s!9n=#a(,oa^:B>%M~b,インシデントのポストモーテムを書いてください。,インシデントのポストモーテムを書きましょう。
3,242,dio58(3CHt,mk~=)H|D?Y,根本原因分析を行ってください。,根本原因分析を行いましょう。
3,245,f&9)$M|C|2,Jj5XuASFxL,シニアエンジニアにエスカレーションしてください。,シニアエンジニアにエスカレーションしてもらえますか？
3,247,j*Zbm9f/px,pUHI?B2#8!,インシデントプレイブックを確認してください。,インシデントプレイブックを確認してもらえますか？
4,1,OLjo29sN[7,cqAbz^>k39,レスポンスを5分間キャッシュしてください。,レスポンスを5分間キャッシュしてもらえますか？
4,5,c#wv1ilkVO,Nb6Db/{Q@N,TTLを1時間に設定してください。,TTLを1時間に設定してもらえますか？
4,8,P`+2~KN4Tu,J&;FT-K4@!,キャッシュにはRedisを使ってください。,キャッシュにはRedisを使った方がいいです。
4,10,JR(g4Zp8TT,tlUy3}E#zC,静的ファイルはCDNから配信してください。,静的ファイルはCDNから配信すべきです。
4,12,"J[M-,>f!}i",r(L]c@XC85,ローンチ前にキャッシュをウォームアップしてください。,ローンチ前にキャッシュをウォームアップしておいてください。
4,21,ix!;~!1hHS,B>wbg@BmHc,パフォーマンス向上のためにIOPSを増やしてください。,パフォーマンス向上のためにIOPSを増やしてもらえますか？
4,23,k2JtynJh0#,r%~fS_8Vk7,クロスリージョンレプリケーションを有効にしてください。,クロスリージョンレプリケーションを有効にしてもらえますか？
4,27,n@|?ete%Bc,F5!6xwPod;,高可用性のために設計してください。,高可用性のために設計すべきです。
4,28,HxQYGO3y5n,y<N(_V((-A,冗長性を組み込んでください。,冗長性を組み込んだ方がいいです。
4,29,n4!O5T6D7C,D0Zwwk}E`],毎日のバックアップをスケジュールしてください。,毎日のバックアップをスケジュールしましょう。
4,33,v$buHD&Yao,xs!ejcvF%;,誰かがエクスプロイトする前にパッチを当ててください。,エクスプロイトが公開される前にパッチを当ててください。
4,36,E~QyqP~.m[,xVqH.>WfpK,保存時にデータを暗号化してください。,保存時にデータを暗号化すべきです。
4,41,i`?..T?hxw,t+Jl53TjVv,TLS 1.3を使ってください。,TLS 1.3を使った方がいいです。
4,42,qv-G+#z@l+,d^|`hTumBu,常にHTTPSを使ってください。,常にHTTPSを使うべきです。
4,43,yrq[@6g%c#,hn2Aayat}},SSL証明書を更新してください。,SSL証明書を更新してもらえますか？
4,44,h5QB#Y;aQJ,"QziGcm3o3,",二要素認証を実装してください。,二要素認証を実装しましょう。
4,46,O$Z=5h#hE>,k89}s~ST+7,ロールベースのアクセス制御を実装してください。,ロールベースのアクセス制御を実装しましょう。
4,49,"u>DP71O,wG",fS?poGdb!A,最小権限の原則を使ってください。,最小権限の原則に従うべきです。
4,55,k=xY3|]|>$,F/XdS?nbr`,CSRF保護を追加してください。,CSRF保護を追加してもらえますか？
4,56,CY+&pc&9<y,maU%fb:y%X,パラメータ化されたクエリを使ってください。,パラメータ化されたクエリを使うべきです。
4,58,Q;mA8J/mHM,N=|FPIDT#N,すべてのユーザー入力をサニタイズしてください。,すべてのユーザー入力をサニタイズすべきです。
4,59,zE]*kI3e@A,xr0y+1Q%5),サーバーで入力を検証してください。,サーバーで入力を検証すべきです。
4,62,IpYuAciLu%,mJIjFYc#4o,既知の悪いIPをブラックリストに追加してください。,既知の悪いIPをブラックリストに追加してもらえますか？
4,63,hu3>W;/=j~,fsc8leorh|,ファイアウォールルールを設定してください。,ファイアウォールルールを設定してもらえますか？
4,64,Mp+31}S^<K,"kX5X_,V!f9",保護のためにWAFをデプロイしてください。,保護のためにWAFをデプロイしましょう。
4,66,q]@K!;}vXp,y[p$8D^alg,レート制限を実装してください。,レート制限を実装しましょう。
4,68,"I(=O0:[g,~",KlX3{2OGE!,監査ログを有効にしてください。,監査ログを有効にしてもらえますか？
4,69,DpGyJ.q//;,m5R[l(6Y1C,コンプライアンス要件を満たしてください。,コンプライアンス要件を満たすべきです。
4,72,DFU2pfykro,bIK)Tw@I;G,SOC 2監査に合格してください。,SOC 2監査に合格する必要があります。
4,73,B!K(ar=p/K,_z5@W)I!Y,ペネトレーションテストをスケジュールしてください。,ペネトレーションテストをスケジュールしましょう。
4,74,o:sn6~2o:p,k6_ykyB_iK,脆弱性スキャンを実行してください。,脆弱性スキャンを実行しましょう。
4,76,vFF[Z/%!Ju,B+gUT/v6};,キーローテーションを実装してください。,キーローテーションを実装しましょう。
4,77,Ob*Ng..hvz,zs!5c{_Ac),すべてのユーザーにMFAを有効にしてください。,すべてのユーザーにMFAを有効にしてもらえますか？
4,79,s?e]-8ZOk#,MtretJx6;F,エンタープライズ向けにSAMLを統合してください。,エンタープライズ向けにSAMLを統合してもらえますか？
4,84,k%JDK2J?0$,nDnD>s[-+l,UIデザインを改善してください。,UIデザインを改善しましょう。
4,85,EAwp3PD(dK,v1{Opf6HWA,より良いUXに集中してください。,より良いUXに集中しましょう。
4,86,o&}16nV!$H,"u,sKM0%CXo",再利用可能なコンポーネントを作成してください。,再利用可能なコンポーネントを作成しましょう。
4,89,x3!ngPG}Cm,l(P-ATNJ)B,カスタムhookを使ってください。,カスタムhookを使った方がいいです。
4,94,H&jgPK^erX,yVEXD)<}=_,イベントリスナーを追加してください。,イベントリスナーを追加してもらえますか？
4,95,oQ0B{L.~cq,q30F>Mv|EQ,イベントハンドラーを書いてください。,イベントハンドラーを書いてもらえますか？
4,100,q`ho(HdI*z,Fyqh3RrA(q,SEOにはSSRを使ってください。,SEOにはSSRを使った方がいいです。
4,101,c{I`qiNQ_F,jE7^u]BI+B,CSRは初回後より速く読み込みます。,CSRは初回以降の読み込みが速いです。
