Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
太陽が一つだけ高い時,"noon, midday",太陽が一つだけ高い時,太【たい】陽【よう】が一【ひと】つだけ高【たか】い時【とき】,Time Expressions,,"noon, midday","<ruby class=""vocab"">太陽が一つだけ高い時<rt>たいようがひとつだけたかいとき</rt></ruby>",正午
太陽の日,Sunday,太陽の日,太【たい】陽【よう】の日【にち】,Time Expressions,,Sunday,"<ruby class=""vocab"">太陽の日<rt>たいようのにち</rt></ruby>",日曜日
月の日,Monday,月の日,月【つき】の日【にち】,Time Expressions,,Monday,"<ruby class=""vocab"">月の日<rt>つきのにち</rt></ruby>",月曜日
何もしなくていい日,"day off, holiday",何もしなくていい日,何【なに】もしなくていい日【にち】,Time Expressions,,"day off, holiday","<ruby class=""vocab"">何もしなくていい日<rt>なにもしなくていいにち</rt></ruby>",休日
国が選んだ何もしない日,national holiday,国が選んだ何もしない日,国【くに】が選【えら】んだ何【なに】もしない日【にち】,Time Expressions,,national holiday,"<ruby class=""vocab"">国が選んだ何もしない日<rt>くにがえらんだなにもしないにち</rt></ruby>",祝日
年の中で空が変わる時,season,年の中で空が変わる時,年【とし】の中【なか】で空【そら】が変【か】わる時【とき】,Time Expressions,,season,"<ruby class=""vocab"">年の中で空が変わる時<rt>としのなかでそらがかわるとき</rt></ruby>",季節
人が生きる事が始まった日,birthday,人が生きる事が始まった日,人【ひと】が生【い】きる事【こと】が始【はじ】まった日【にち】,Time Expressions,,birthday,"<ruby class=""vocab"">人が生きる事が始まった日<rt>ひとがいきることがはじまったにち</rt></ruby>",誕生日
よく思い出す必要な日,anniversary,よく思い出す必要な日,よく思【おも】い出【だ】す必要【ひつよう】な日【にち】,Time Expressions,,anniversary,"<ruby class=""vocab"">よく思い出す必要な日<rt>よくおもいだすひつようなにち</rt></ruby>",記念日
始まりから終わりまでの時,"period, duration",始まりから終わりまでの時,始【はじ】まりから終【お】わりまでの時【とき】,Time Expressions,,"period, duration","<ruby class=""vocab"">始まりから終わりまでの時<rt>はじまりからおわりまでのとき</rt></ruby>",期間
その事が終わらなければならない時,"deadline, expiry",その事が終わらなければならない時,その事【こと】が終【お】わらなければならない時【とき】,Time Expressions,,"deadline, expiry","<ruby class=""vocab"">その事が終わらなければならない時<rt>そのことがおわらなければならないとき</rt></ruby>",期限
これより後はできないという時,deadline (submission),これより後はできないという時,これより後【あと】はできないという時【とき】,Time Expressions,,deadline (submission),"<ruby class=""vocab"">これより後はできないという時<rt>これよりあとはできないというとき</rt></ruby>",締め切り
今から少し前の時,"recently, lately",今から少し前の時,今【いま】から少【すこ】し前【まえ】の時【とき】,Time Expressions,,"recently, lately","<ruby class=""vocab"">今から少し前の時<rt>いまからすこしまえのとき</rt></ruby>",最近
とても少しの時の後に,"soon, right away",とても少しの時の後に,とても少【すこ】しの時【とき】の後【あと】に,Time Expressions,,"soon, right away","<ruby class=""vocab"">とても少しの時の後に<rt>とてもすこしのときのあとに</rt></ruby>",すぐ
少し後の時に,"eventually, before long",少し後の時に,少【すこ】し後【あと】の時【とき】に,Time Expressions,,"eventually, before long","<ruby class=""vocab"">少し後の時に<rt>すこしあとのときに</rt></ruby>",やがて
終わらない時,"eternity, forever",終わらない時,終【お】わらない時【とき】,Time Expressions,,"eternity, forever","<ruby class=""vocab"">終わらない時<rt>おわらないとき</rt></ruby>",永遠
生きている全部の時,one's whole life,生きている全部の時,生【い】きている全【ぜん】部【ぶ】の時【とき】,Time Expressions,,one's whole life,"<ruby class=""vocab"">生きている全部の時<rt>いきているぜんぶのとき</rt></ruby>",一生
十の十の年の時,century,十の十の年の時,十【じゅう】の十【じゅう】の年【とし】の時【とき】,Time Expressions,,century,"<ruby class=""vocab"">十の十の年の時<rt>じゅうのじゅうのとしのとき</rt></ruby>",世紀
ある長い時の事が起こった時,"era, period (of history)",ある長い時の事が起こった時,ある長【なが】い時【とき】の事【こと】が起【お】こった時【とき】,Time Expressions,,"era, period (of history)","<ruby class=""vocab"">ある長い時の事が起こった時<rt>あるながいときのことがおこったとき</rt></ruby>",時代
とても長い時の後に,"finally, at last",とても長い時の後に,とても長【なが】い時【とき】の後【あと】に,Time Expressions,,"finally, at last","<ruby class=""vocab"">とても長い時の後に<rt>とてもながいときのあとに</rt></ruby>",ついに
思っていなかった時に起こる,"suddenly, all of a sudden",思っていなかった時に起こる,思【おも】っていなかった時【とき】に起【お】こる,Time Expressions,,"suddenly, all of a sudden","<ruby class=""vocab"">思っていなかった時に起こる<rt>おもっていなかったときにおこる</rt></ruby>",突然
長い時が終わって会う,after a long time,長い時が終わって会う,長【なが】い時【とき】が終【お】わって会【あ】う,Time Expressions,,after a long time,"<ruby class=""vocab"">長い時が終わって会う<rt>ながいときがおわってあう</rt></ruby>",久しぶり
