Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
長い物が上を動く道,railroad tracks,長い物が上を動く道,長【なが】い物【もの】が上【うえ】を動【うご】く道【みち】,Transport & Travel,,railroad tracks,"<ruby class=""vocab"">長い物が上を動く道<rt>ながいものがうえをうごくみち</rt></ruby>",線路
物を動かすこと,driving,物を動かすこと,物【もの】を動【うご】かすこと,Transport & Travel,,driving,"<ruby class=""vocab"">物を動かすこと<rt>ものをうごかすこと</rt></ruby>",運転
所を出ること,departure,所を出ること,所【ところ】を出【で】ること,Transport & Travel,,departure,"<ruby class=""vocab"">所を出ること<rt>ところをでること</rt></ruby>",出発
所に来ること,arrival,所に来ること,所【ところ】に来【く】ること,Transport & Travel,,arrival,"<ruby class=""vocab"">所に来ること<rt>ところにくること</rt></ruby>",到着
他の所に行くこと,travel/trip,他の所に行くこと,他【ほか】の所【ところ】に行【い】くこと,Transport & Travel,,travel/trip,"<ruby class=""vocab"">他の所に行くこと<rt>ほかのところにいくこと</rt></ruby>",旅行
他の所を見ること,sightseeing,他の所を見ること,他【ほか】の所【ところ】を見【み】ること,Transport & Travel,,sightseeing,"<ruby class=""vocab"">他の所を見ること<rt>ほかのところをみること</rt></ruby>",観光
道や所を教えること,guidance/guide,道や所を教えること,道【みち】や所【ところ】を教【おし】えること,Transport & Travel,,guidance/guide,"<ruby class=""vocab"">道や所を教えること<rt>みちやところをおしえること</rt></ruby>",案内
所を書いた物,map,所を書いた物,所【ところ】を書【か】いた物【もの】,Transport & Travel,,map,"<ruby class=""vocab"">所を書いた物<rt>ところをかいたもの</rt></ruby>",地図
中に入るために買う物,ticket,中に入るために買う物,中【なか】に入【はい】るために買【か】う物【もの】,Transport & Travel,,ticket,"<ruby class=""vocab"">中に入るために買う物<rt>なかにはいるためにかうもの</rt></ruby>",切符
他の国に行くときに必要な本,passport,他の国に行くときに必要な本,他【ほか】の国【くに】に行【い】くときに必要【ひつよう】な本【ほん】,Transport & Travel,,passport,"<ruby class=""vocab"">他の国に行くときに必要な本<rt>ほかのくににいくときにひつようなほん</rt></ruby>",パスポート
行く時に持って行く物,luggage/baggage,行く時に持って行く物,行【い】く時【とき】に持【も】って行【い】く物【もの】,Transport & Travel,,luggage/baggage,"<ruby class=""vocab"">行く時に持って行く物<rt>いくときにもっていくもの</rt></ruby>",荷物
座る所,seat,座る所,座【すわ】る所【ところ】,Transport & Travel,,seat,"<ruby class=""vocab"">座る所<rt>すわるところ</rt></ruby>",座席
どのくらい速いかということ,speed,どのくらい速いかということ,どのくらい速【はや】いかということ,Transport & Travel,,speed,"<ruby class=""vocab"">どのくらい速いかということ<rt>どのくらいはやいかということ</rt></ruby>",速度
二つの所がどのくらい遠いか,distance,二つの所がどのくらい遠いか,二【ふた】つの所【ところ】がどのくらい遠【とお】いか,Transport & Travel,,distance,"<ruby class=""vocab"">二つの所がどのくらい遠いか<rt>ふたつのところがどのくらいとおいか</rt></ruby>",距離
どちらに行くかということ,direction,どちらに行くかということ,どちらに行【い】くかということ,Transport & Travel,,direction,"<ruby class=""vocab"">どちらに行くかということ<rt>どちらにいくかということ</rt></ruby>",方向
道を人や物が動くこと,traffic/transportation,道を人や物が動くこと,道【みち】を人【ひと】や物【もの】が動【うご】くこと,Transport & Travel,,traffic/transportation,"<ruby class=""vocab"">道を人や物が動くこと<rt>みちをひとやものがうごくこと</rt></ruby>",交通
物が動けなくなること,traffic jam,物が動けなくなること,物【もの】が動【うご】けなくなること,Transport & Travel,,traffic jam,"<ruby class=""vocab"">物が動けなくなること<rt>ものがうごけなくなること</rt></ruby>",渋滞
悪いことが起こること,accident,悪いことが起こること,悪【わる】いことが起【お】こること,Transport & Travel,,accident,"<ruby class=""vocab"">悪いことが起こること<rt>わるいことがおこること</rt></ruby>",事故
中に入るために与えるお金,fare,中に入るために与えるお金,中【なか】に入【はい】るために与【あた】えるお金【かね】,Transport & Travel,,fare,"<ruby class=""vocab"">中に入るために与えるお金<rt>なかにはいるためにあたえるおかね</rt></ruby>",運賃
行くだけで来ない道,one-way,行くだけで来ない道,行【い】くだけで来【こ】ない道【みち】,Transport & Travel,,one-way,"<ruby class=""vocab"">行くだけで来ない道<rt>いくだけでこないみち</rt></ruby>",片道
行って来ること,round trip,行って来ること,行【い】って来【く】ること,Transport & Travel,,round trip,"<ruby class=""vocab"">行って来ること<rt>いってくること</rt></ruby>",往復
行きたい所,destination,行きたい所,行【い】きたい所【ところ】,Transport & Travel,,destination,"<ruby class=""vocab"">行きたい所<rt>いきたいところ</rt></ruby>",目的地
他の国,foreign country,他の国,他【ほか】の国【くに】,Transport & Travel,,foreign country,"<ruby class=""vocab"">他の国<rt>ほかのくに</rt></ruby>",外国
もとの国に来ること,returning to home country,もとの国に来ること,もとの国【くに】に来【く】ること,Transport & Travel,,returning to home country,"<ruby class=""vocab"">もとの国に来ること<rt>もとのくににくること</rt></ruby>",帰国
道が見えなくなった子供,lost child,道が見えなくなった子供,道【みち】が見【み】えなくなった子供【こども】,Transport & Travel,,lost child,"<ruby class=""vocab"">道が見えなくなった子供<rt>みちがみえなくなったこども</rt></ruby>",迷子
始まりと終わりの前,on the way/midway,始まりと終わりの前,始【はじ】まりと終【お】わりの前【まえ】,Transport & Travel,,on the way/midway,"<ruby class=""vocab"">始まりと終わりの前<rt>はじまりとおわりのまえ</rt></ruby>",途中
物の中に入る人,passenger,物の中に入る人,物【もの】の中【なか】に入【はい】る人【ひと】,Transport & Travel,,passenger,"<ruby class=""vocab"">物の中に入る人<rt>もののなかにはいるひと</rt></ruby>",乗客
物を動かす人,driver,物を動かす人,物【もの】を動【うご】かす人【ひと】,Transport & Travel,,driver,"<ruby class=""vocab"">物を動かす人<rt>ものをうごかすひと</rt></ruby>",運転手
動く物が止まって終わる所,final stop/terminus,動く物が止まって終わる所,動【うご】く物【もの】が止【と】まって終【お】わる所【ところ】,Transport & Travel,,final stop/terminus,"<ruby class=""vocab"">動く物が止まって終わる所<rt>うごくものがとまっておわるところ</rt></ruby>",終点
トイレ,toilet / bathroom,トイレ,トイレ,Signs & Transport,,toilet / bathroom,"<ruby class=""vocab"">トイレ<rt><span class=""pitch-h"">と</span><span class=""pitch-l"">い</span><span class=""pitch-l"">れ</span></rt></ruby>",
エレベーター,elevator,エレベーター,エレベーター,Signs & Transport,,elevator,"<ruby class=""vocab"">エレベーター<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">べ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">た</span><span class=""pitch-l"">ー</span></rt></ruby>",
エスカレーター,escalator,エスカレーター,エスカレーター,Signs & Transport,,escalator,"<ruby class=""vocab"">エスカレーター<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">す</span><span class=""pitch-h"">か</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">た</span><span class=""pitch-l"">ー</span></rt></ruby>",
ホテル,hotel,ホテル,ホテル,Signs & Transport,,hotel,"<ruby class=""vocab"">ホテル<rt><span class=""pitch-h"">ほ</span><span class=""pitch-l"">て</span><span class=""pitch-l"">る</span></rt></ruby>",
レストラン,restaurant,レストラン,レストラン,Signs & Transport,,restaurant,"<ruby class=""vocab"">レストラン<rt><span class=""pitch-h"">れ</span><span class=""pitch-l"">す</span><span class=""pitch-l"">と</span><span class=""pitch-l"">ら</span><span class=""pitch-l"">ん</span></rt></ruby>",
スーパー,supermarket,スーパー,スーパー,Signs & Transport,,supermarket,"<ruby class=""vocab"">スーパー<rt><span class=""pitch-h"">す</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ぱ</span><span class=""pitch-l"">ー</span></rt></ruby>",
コンビニ,convenience store,コンビニ,コンビニ,Signs & Transport,,convenience store,"<ruby class=""vocab"">コンビニ<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">び</span><span class=""pitch-h"">に</span></rt></ruby>",
デパート,department store,デパート,デパート,Signs & Transport,,department store,"<ruby class=""vocab"">デパート<rt><span class=""pitch-l"">で</span><span class=""pitch-h"">ぱ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>",
ビル,building,ビル,ビル,Signs & Transport,,building,"<ruby class=""vocab"">ビル<rt><span class=""pitch-h"">び</span><span class=""pitch-l"">る</span></rt></ruby>",
バス,bus,バス,バス,Signs & Transport,,bus,"<ruby class=""vocab"">バス<rt><span class=""pitch-h"">ば</span><span class=""pitch-l"">す</span></rt></ruby>",
タクシー,taxi,タクシー,タクシー,Signs & Transport,,taxi,"<ruby class=""vocab"">タクシー<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">く</span><span class=""pitch-l"">し</span><span class=""pitch-l"">ー</span></rt></ruby>",
フロア,floor (of a building),フロア,フロア,Signs & Transport,,floor (of a building),"<ruby class=""vocab"">フロア<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">あ</span></rt></ruby>",
オフィス,office,オフィス,オフィス,Signs & Transport,,office,"<ruby class=""vocab"">オフィス<rt><span class=""pitch-h"">お</span><span class=""pitch-l"">ふぃ</span><span class=""pitch-l"">す</span></rt></ruby>",
カフェ,cafe,カフェ,カフェ,Signs & Transport,,cafe,"<ruby class=""vocab"">カフェ<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ふぇ</span></rt></ruby>",
バー,bar,バー,バー,Signs & Transport,,bar,"<ruby class=""vocab"">バー<rt><span class=""pitch-h"">ば</span><span class=""pitch-l"">ー</span></rt></ruby>",
タイヤ,tire,タイヤ,タイヤ,Signs & Transport,,tire,"<ruby class=""vocab"">タイヤ<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">や</span></rt></ruby>",
ドライブ,a drive,ドライブ,ドライブ,Signs & Transport,,a drive,"<ruby class=""vocab"">ドライブ<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">ら</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぶ</span></rt></ruby>",
ガソリン,gasoline,ガソリン,ガソリン,Signs & Transport,,gasoline,"<ruby class=""vocab"">ガソリン<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">そ</span><span class=""pitch-h"">り</span><span class=""pitch-h"">ん</span></rt></ruby>",
