Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
人が動く事を見る物,"movie, film",人が動く事を見る物,人【ひと】が動【うご】く事【こと】を見【み】る物【もの】,Daily Life & Routines,,"movie, film","<ruby class=""vocab"">人が動く事を見る物<rt>ひとがうごくことをみるもの</rt></ruby>",映画
きれいな音,music,きれいな音,きれいな音【おと】,Daily Life & Routines,,music,"<ruby class=""vocab"">きれいな音<rt>きれいなおと</rt></ruby>",音楽
毎日書く本,newspaper,毎日書く本,毎【まい】日【にち】書【か】く本【ほん】,Daily Life & Routines,,newspaper,"<ruby class=""vocab"">毎日書く本<rt>まいにちかくほん</rt></ruby>",新聞
多い事を書いた本,magazine,多い事を書いた本,多【おお】い事【こと】を書【か】いた本【ほん】,Daily Life & Routines,,magazine,"<ruby class=""vocab"">多い事を書いた本<rt>おおいことをかいたほん</rt></ruby>",雑誌
人に書く言葉,"letter, written letter",人に書く言葉,人【ひと】に書【か】く言葉【ことば】,Daily Life & Routines,,"letter, written letter","<ruby class=""vocab"">人に書く言葉<rt>ひとにかくことば</rt></ruby>",手紙
持つ物,"luggage, baggage, package",持つ物,持【も】つ物【もの】,Daily Life & Routines,,"luggage, baggage, package","<ruby class=""vocab"">持つ物<rt>もつもの</rt></ruby>",荷物
家を開ける物,"key, lock",家を開ける物,家【いえ】を開【あ】ける物【もの】,Daily Life & Routines,,"key, lock","<ruby class=""vocab"">家を開ける物<rt>いえをあけるもの</rt></ruby>",鍵
家の中に外の光が入る所,window,家の中に外の光が入る所,家【いえ】の中【なか】に外【そと】の光【ひかり】が入【はい】る所【ところ】,Daily Life & Routines,,window,"<ruby class=""vocab"">家の中に外の光が入る所<rt>いえのなかにそとのひかりがはいるところ</rt></ruby>",窓
家の右と左にある物,wall,家の右と左にある物,家【いえ】の右【みぎ】と左【ひだり】にある物【もの】,Daily Life & Routines,,wall,"<ruby class=""vocab"">家の右と左にある物<rt>いえのみぎとひだりにあるもの</rt></ruby>",壁
家の中の下,floor,家の中の下,家【いえ】の中【なか】の下【した】,Daily Life & Routines,,floor,"<ruby class=""vocab"">家の中の下<rt>いえのなかのした</rt></ruby>",床
家の上にある物,roof,家の上にある物,家【いえ】の上【うえ】にある物【もの】,Daily Life & Routines,,roof,"<ruby class=""vocab"">家の上にある物<rt>いえのうえにあるもの</rt></ruby>",屋根
食べる物を作る所,kitchen,食べる物を作る所,食【た】べる物【もの】を作【つく】る所【ところ】,Daily Life & Routines,,kitchen,"<ruby class=""vocab"">食べる物を作る所<rt>たべるものをつくるところ</rt></ruby>",台所
体を水できれいにする所,"bath, bathtub",体を水できれいにする所,体【からだ】を水【みず】できれいにする所【ところ】,Daily Life & Routines,,"bath, bathtub","<ruby class=""vocab"">体を水できれいにする所<rt>からだをみずできれいにするところ</rt></ruby>",風呂
家の中の所,room,家の中の所,家【いえ】の中【なか】の所【ところ】,Daily Life & Routines,,room,"<ruby class=""vocab"">家の中の所<rt>いえのなかのところ</rt></ruby>",部屋
所をきれいにする事,"cleaning, sweeping",所をきれいにする事,所【ところ】をきれいにする事【こと】,Daily Life & Routines,,"cleaning, sweeping","<ruby class=""vocab"">所をきれいにする事<rt>ところをきれいにすること</rt></ruby>",掃除
服を水できれいにする事,"laundry, washing clothes",服を水できれいにする事,服【ふく】を水【みず】できれいにする事【こと】,Daily Life & Routines,,"laundry, washing clothes","<ruby class=""vocab"">服を水できれいにする事<rt>ふくをみずできれいにすること</rt></ruby>",洗濯
食べる物を作る事,"cooking, cuisine",食べる物を作る事,食【た】べる物【もの】を作【つく】る事【こと】,Daily Life & Routines,,"cooking, cuisine","<ruby class=""vocab"">食べる物を作る事<rt>たべるものをつくること</rt></ruby>",料理
物を買う事,shopping,物を買う事,物【もの】を買【か】う事【こと】,Daily Life & Routines,,shopping,"<ruby class=""vocab"">物を買う事<rt>ものをかうこと</rt></ruby>",買い物
外を動いていく事,"walk, stroll",外を動いていく事,外【そと】を動【うご】いていく事【こと】,Daily Life & Routines,,"walk, stroll","<ruby class=""vocab"">外を動いていく事<rt>そとをうごいていくこと</rt></ruby>",散歩
前にする事,"preparation, getting ready",前にする事,前【まえ】にする事【こと】,Daily Life & Routines,,"preparation, getting ready","<ruby class=""vocab"">前にする事<rt>まえにすること</rt></ruby>",支度
始まる前にする事,"preparation, arrangement",始まる前にする事,始【はじ】まる前【まえ】にする事【こと】,Daily Life & Routines,,"preparation, arrangement","<ruby class=""vocab"">始まる前にする事<rt>はじまるまえにすること</rt></ruby>",準備
人に「する」と言う事,"promise, appointment",人に「する」と言う事,人【ひと】に「する」と言【い】う事【こと】,Daily Life & Routines,,"promise, appointment","<ruby class=""vocab"">人に「する」と言う事<rt>ひとに「する」ということ</rt></ruby>",約束
後にする事,"schedule, plan",後にする事,後【あと】にする事【こと】,Daily Life & Routines,,"schedule, plan","<ruby class=""vocab"">後にする事<rt>あとにすること</rt></ruby>",予定
好きでする事,"hobby, interest",好きでする事,好【す】きでする事【こと】,Daily Life & Routines,,"hobby, interest","<ruby class=""vocab"">好きでする事<rt>すきですること</rt></ruby>",趣味
良くなるために何かを多くする事,"practice, training",良くなるために何かを多くする事,良【よ】くなるために何【なに】かを多【おお】くする事【こと】,Daily Life & Routines,,"practice, training","<ruby class=""vocab"">良くなるために何かを多くする事<rt>よくなるためになにかをおおくすること</rt></ruby>",練習
知るために読んだり聞いたりする事,"study, studying",知るために読んだり聞いたりする事,知【し】るために読【よ】んだり聞【き】いたりする事【こと】,Daily Life & Routines,,"study, studying","<ruby class=""vocab"">知るために読んだり聞いたりする事<rt>しるためによんだりきいたりすること</rt></ruby>",勉強
家で読んだり書いたりする事,homework,家で読んだり書いたりする事,家【いえ】で読【よ】んだり書【か】いたりする事【こと】,Daily Life & Routines,,homework,"<ruby class=""vocab"">家で読んだり書いたりする事<rt>いえでよんだりかいたりすること</rt></ruby>",宿題
知りたい事を聞く言葉,question,知りたい事を聞く言葉,知【し】りたい事【こと】を聞【き】く言葉【ことば】,Daily Life & Routines,,question,"<ruby class=""vocab"">知りたい事を聞く言葉<rt>しりたいことをきくことば</rt></ruby>",質問
聞かれた事を言う事,"answer, response",聞かれた事を言う事,聞【き】かれた事【こと】を言【い】う事【こと】,Daily Life & Routines,,"answer, response","<ruby class=""vocab"">聞かれた事を言う事<rt>きかれたことをいうこと</rt></ruby>",答え
人の言葉に言う事,"reply, response",人の言葉に言う事,人【ひと】の言葉【ことば】に言【い】う事【こと】,Daily Life & Routines,,"reply, response","<ruby class=""vocab"">人の言葉に言う事<rt>ひとのことばにいうこと</rt></ruby>",返事
会った時に言う言葉,greeting,会った時に言う言葉,会【あ】った時【とき】に言【い】う言葉【ことば】,Daily Life & Routines,,greeting,"<ruby class=""vocab"">会った時に言う言葉<rt>あったときにいうことば</rt></ruby>",挨拶
人に知らせる事,"contact, communication",人に知らせる事,人【ひと】に知【し】らせる事【こと】,Daily Life & Routines,,"contact, communication","<ruby class=""vocab"">人に知らせる事<rt>ひとにしらせること</rt></ruby>",連絡
人と考える事,"consultation, discussion",人と考える事,人【ひと】と考【かんが】える事【こと】,Daily Life & Routines,,"consultation, discussion","<ruby class=""vocab"">人と考える事<rt>ひととかんがえること</rt></ruby>",相談
人や物の事を他の人に教える事,"introduction, referral",人や物の事を他の人に教える事,人【ひと】や物【もの】の事【こと】を他【ほか】の人【ひと】に教【おし】える事【こと】,Daily Life & Routines,,"introduction, referral","<ruby class=""vocab"">人や物の事を他の人に教える事<rt>ひとやもののことをほかのひとにおしえること</rt></ruby>",紹介
人に「来てください」と言う事,invitation,人に「来てください」と言う事,人【ひと】に「来【き】てください」と言【い】う事【こと】,Daily Life & Routines,,invitation,"<ruby class=""vocab"">人に「来てください」と言う事<rt>ひとに「きてください」ということ</rt></ruby>",招待
前にした事,experience,前にした事,前【まえ】にした事【こと】,Daily Life & Routines,,experience,"<ruby class=""vocab"">前にした事<rt>まえにしたこと</rt></ruby>",経験
後にする事を考える事,"plan, project",後にする事を考える事,後【あと】にする事【こと】を考【かんが】える事【こと】,Daily Life & Routines,,"plan, project","<ruby class=""vocab"">後にする事を考える事<rt>あとにすることをかんがえること</rt></ruby>",計画
よく見てほしい事,"caution, attention, warning",よく見てほしい事,よく見【み】てほしい事【こと】,Daily Life & Routines,,"caution, attention, warning","<ruby class=""vocab"">よく見てほしい事<rt>よくみてほしいこと</rt></ruby>",注意
「これをください」と言う事,"order (food, goods)",「これをください」と言う事,「これをください」と言【い】う事【こと】,Daily Life & Routines,,"order (food, goods)","<ruby class=""vocab"">「これをください」と言う事<rt>「これをください」ということ</rt></ruby>",注文
物を買うお金,"price, cost",物を買うお金,物【もの】を買【か】うお金【かね】,Daily Life & Routines,,"price, cost","<ruby class=""vocab"">物を買うお金<rt>ものをかうおかね</rt></ruby>",値段
お金が少しで良くなる事,discount,お金が少しで良くなる事,お金【かね】が少【すこ】しで良【よ】くなる事【こと】,Daily Life & Routines,,discount,"<ruby class=""vocab"">お金が少しで良くなる事<rt>おかねがすこしでよくなること</rt></ruby>",割引
お金がない事,free of charge,お金がない事,お金【かね】がない事【こと】,Daily Life & Routines,,free of charge,"<ruby class=""vocab"">お金がない事<rt>おかねがないこと</rt></ruby>",無料
変ではない,"ordinary, normal, usual",変ではない,変【へん】ではない,Daily Life & Routines,,"ordinary, normal, usual","<ruby class=""vocab"">変ではない<rt>へんではない</rt></ruby>",普通
他と違う良い事,"special, particular",他と違う良い事,他【ほか】と違【ちが】う良【よ】い事【こと】,Daily Life & Routines,,"special, particular","<ruby class=""vocab"">他と違う良い事<rt>ほかとちがうよいこと</rt></ruby>",特別
とても必要な,"important, precious, valued",とても必要な,とても必要【ひつよう】な,Daily Life & Routines,,"important, precious, valued","<ruby class=""vocab"">とても必要な<rt>とてもひつような</rt></ruby>",大切
だれでもできる,"easy, simple",だれでもできる,だれでもできる,Daily Life & Routines,,"easy, simple","<span class=""vocab"">だれでもできる</span>",簡単
多くの事が中にある,"complex, complicated",多くの事が中にある,多【おお】くの事【こと】が中【なか】にある,Daily Life & Routines,,"complex, complicated","<ruby class=""vocab"">多くの事が中にある<rt>おおくのことがなかにある</rt></ruby>",複雑
よく使える良い,"convenient, handy",よく使える良い,よく使【つか】える良【よ】い,Daily Life & Routines,,"convenient, handy","<ruby class=""vocab"">よく使える良い<rt>よくつかえるよい</rt></ruby>",便利
よく使えない悪い,inconvenient,よく使えない悪い,よく使【つか】えない悪【わる】い,Daily Life & Routines,,inconvenient,"<ruby class=""vocab"">よく使えない悪い<rt>よくつかえないわるい</rt></ruby>",不便
人に良い言葉を使う,"polite, careful, thorough",人に良い言葉を使う,人【ひと】に良【よ】い言葉【ことば】を使【つか】う,Daily Life & Routines,,"polite, careful, thorough","<ruby class=""vocab"">人に良い言葉を使う<rt>ひとによいことばをつかう</rt></ruby>",丁寧
その時に良い,"suitable, appropriate; casual",その時に良い,その時【とき】に良【よ】い,Daily Life & Routines,,"suitable, appropriate; casual","<ruby class=""vocab"">その時に良い<rt>そのときによい</rt></ruby>",適当
したい事ができる,"freedom, liberty",したい事ができる,したい事【こと】ができる,Daily Life & Routines,,"freedom, liberty","<ruby class=""vocab"">したい事ができる<rt>したいことができる</rt></ruby>",自由
他の国や所に行く事,"travel, trip",他の国や所に行く事,他【ほか】の国【くに】や所【ところ】に行【い】く事【こと】,Daily Life & Routines,,"travel, trip","<ruby class=""vocab"">他の国や所に行く事<rt>ほかのくにやところにいくこと</rt></ruby>",旅行
空の今の事,weather,空の今の事,空【そら】の今【いま】の事【こと】,Daily Life & Routines,,weather,"<ruby class=""vocab"">空の今の事<rt>そらのいまのこと</rt></ruby>",天気
年の中の時,season,年の中の時,年【とし】の中【なか】の時【とき】,Daily Life & Routines,,season,"<ruby class=""vocab"">年の中の時<rt>としのなかのとき</rt></ruby>",季節
