Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
スプーン,spoon,スプーン,スプーン,Daily Objects,,spoon,"<ruby class=""vocab"">スプーン<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">ぷ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ん</span></rt></ruby>",
コップ,glass / cup,コップ,コップ,Daily Objects,,glass / cup,"<ruby class=""vocab"">コップ<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">ぷ</span></rt></ruby>",
ガラス,glass (material),ガラス,ガラス,Daily Objects,,glass (material),"<ruby class=""vocab"">ガラス<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">す</span></rt></ruby>",
ベッド,bed,ベッド,ベッド,Daily Objects,,bed,"<ruby class=""vocab"">ベッド<rt><span class=""pitch-h"">べ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">ど</span></rt></ruby>",
シャワー,shower,シャワー,シャワー,Daily Objects,,shower,"<ruby class=""vocab"">シャワー<rt><span class=""pitch-h"">しゃ</span><span class=""pitch-l"">わ</span><span class=""pitch-l"">ー</span></rt></ruby>",
タオル,towel,タオル,タオル,Daily Objects,,towel,"<ruby class=""vocab"">タオル<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">お</span><span class=""pitch-l"">る</span></rt></ruby>",
カーテン,curtain,カーテン,カーテン,Daily Objects,,curtain,"<ruby class=""vocab"">カーテン<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">て</span><span class=""pitch-l"">ん</span></rt></ruby>",
ライト,light,ライト,ライト,Daily Objects,,light,"<ruby class=""vocab"">ライト<rt><span class=""pitch-h"">ら</span><span class=""pitch-l"">い</span><span class=""pitch-l"">と</span></rt></ruby>",
キー,key,キー,キー,Daily Objects,,key,"<ruby class=""vocab"">キー<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">ー</span></rt></ruby>",
ボタン,button,ボタン,ボタン,Daily Objects,,button,"<ruby class=""vocab"">ボタン<rt><span class=""pitch-l"">ぼ</span><span class=""pitch-h"">た</span><span class=""pitch-h"">ん</span></rt></ruby>",
バッグ,bag,バッグ,バッグ,Daily Objects,,bag,"<ruby class=""vocab"">バッグ<rt><span class=""pitch-h"">ば</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">ぐ</span></rt></ruby>",
ポケット,pocket,ポケット,ポケット,Daily Objects,,pocket,"<ruby class=""vocab"">ポケット<rt><span class=""pitch-h"">ぽ</span><span class=""pitch-l"">け</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
ベルト,belt,ベルト,ベルト,Daily Objects,,belt,"<ruby class=""vocab"">ベルト<rt><span class=""pitch-l"">べ</span><span class=""pitch-h"">る</span><span class=""pitch-h"">と</span></rt></ruby>",
シャツ,shirt,シャツ,シャツ,Daily Objects,,shirt,"<ruby class=""vocab"">シャツ<rt><span class=""pitch-h"">しゃ</span><span class=""pitch-l"">つ</span></rt></ruby>",
Tシャツ,T-shirt,Tシャツ,Tシャツ,Daily Objects,,T-shirt,"<span class=""vocab"">Tシャツ</span>",
ジャケット,jacket,ジャケット,ジャケット,Daily Objects,,jacket,"<ruby class=""vocab"">ジャケット<rt><span class=""pitch-h"">じゃ</span><span class=""pitch-l"">け</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
コート,coat,コート,コート,Daily Objects,,coat,"<ruby class=""vocab"">コート<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>",
スーツ,suit,スーツ,スーツ,Daily Objects,,suit,"<ruby class=""vocab"">スーツ<rt><span class=""pitch-h"">す</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">つ</span></rt></ruby>",
サンダル,sandals,サンダル,サンダル,Daily Objects,,sandals,"<ruby class=""vocab"">サンダル<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">る</span></rt></ruby>",
カレンダー,calendar,カレンダー,カレンダー,Daily Objects,,calendar,"<ruby class=""vocab"">カレンダー<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">だ</span><span class=""pitch-l"">ー</span></rt></ruby>",
スタンプ,stamp / sticker,スタンプ,スタンプ,Daily Objects,,stamp / sticker,"<ruby class=""vocab"">スタンプ<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">た</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぷ</span></rt></ruby>",
セーター,sweater,セーター,セーター,Daily Objects,,sweater,"<ruby class=""vocab"">セーター<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">た</span><span class=""pitch-l"">ー</span></rt></ruby>",
