Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese,Produce
人がしてもいいこと,rights,人がしてもいいこと,人【ひと】がしてもいいこと,Society & Culture,,rights,"<ruby class=""vocab"">人がしてもいいこと<rt>ひとがしてもいいこと</rt></ruby>",権利,y
人がしなければならないこと,duty / obligation,人がしなければならないこと,人【ひと】がしなければならないこと,Society & Culture,,duty / obligation,"<ruby class=""vocab"">人がしなければならないこと<rt>ひとがしなければならないこと</rt></ruby>",義務,y
したいことができること,freedom / liberty,したいことができること,したいことができること,Society & Culture,,freedom / liberty,"<span class=""vocab"">したいことができること</span>",自由,y
戦いがない良い時,peace,戦いがない良い時,戦【たたか】いがない良【よ】い時【とき】,Society & Culture,,peace,"<ruby class=""vocab"">戦いがない良い時<rt>たたかいがないよいとき</rt></ruby>",平和,y
国と国が戦うこと,war,国と国が戦うこと,国【くに】と国【くに】が戦【たたか】うこと,Society & Culture,,war,"<ruby class=""vocab"">国と国が戦うこと<rt>くにとくにがたたかうこと</rt></ruby>",戦争,y
国のために戦う人たち,military / army,国のために戦う人たち,国【くに】のために戦【たたか】う人【ひと】たち,Society & Culture,,military / army,"<ruby class=""vocab"">国のために戦う人たち<rt>くにのためにたたかうひとたち</rt></ruby>",軍隊,y
国を動かす人たち,government,国を動かす人たち,国【くに】を動【うご】かす人【ひと】たち,Society & Culture,,government,"<ruby class=""vocab"">国を動かす人たち<rt>くにをうごかすひとたち</rt></ruby>",政府,y
国を動かす人を選ぶこと,election,国を動かす人を選ぶこと,国【くに】を動【うご】かす人【ひと】を選【えら】ぶこと,Society & Culture,,election,"<ruby class=""vocab"">国を動かす人を選ぶこと<rt>くにをうごかすひとをえらぶこと</rt></ruby>",選挙,y
国に与えるお金,tax,国に与えるお金,国【くに】に与【あた】えるお金【かね】,Society & Culture,,tax,"<ruby class=""vocab"">国に与えるお金<rt>くににあたえるおかね</rt></ruby>",税金,y
前に起こったこと,history,前に起こったこと,前【まえ】に起【お】こったこと,Society & Culture,,history,"<ruby class=""vocab"">前に起こったこと<rt>まえにおこったこと</rt></ruby>",歴史,y
その国の人たちがすること,culture,その国の人たちがすること,その国【くに】の人【ひと】たちがすること,Society & Culture,,culture,"<ruby class=""vocab"">その国の人たちがすること<rt>そのくにのひとたちがすること</rt></ruby>",文化,y
人の上にいる強い物を思うこと,religion,人の上にいる強い物を思うこと,人【ひと】の上【うえ】にいる強【つよ】い物【もの】を思【おも】うこと,Society & Culture,,religion,"<ruby class=""vocab"">人の上にいる強い物を思うこと<rt>ひとのうえにいるつよいものをおもうこと</rt></ruby>",宗教,y
人に教えること,education,人に教えること,人【ひと】に教【おし】えること,Society & Culture,,education,"<ruby class=""vocab"">人に教えること<rt>ひとにおしえること</rt></ruby>",教育,y
物がどうなっているかを知ること,science,物がどうなっているかを知ること,物【もの】がどうなっているかを知【し】ること,Society & Culture,,science,"<ruby class=""vocab"">物がどうなっているかを知ること<rt>ものがどうなっているかをしること</rt></ruby>",科学,y
きれいな物を作ること,art,きれいな物を作ること,きれいな物【もの】を作【つく】ること,Society & Culture,,art,"<ruby class=""vocab"">きれいな物を作ること<rt>きれいなものをつくること</rt></ruby>",芸術,y
言葉で作った本,literature,言葉で作った本,言葉【ことば】で作【つく】った本【ほん】,Society & Culture,,literature,"<ruby class=""vocab"">言葉で作った本<rt>ことばでつくったほん</rt></ruby>",文学,y
なぜ生きるかを考えること,philosophy,なぜ生きるかを考えること,なぜ生【い】きるかを考【かんが】えること,Society & Culture,,philosophy,"<ruby class=""vocab"">なぜ生きるかを考えること<rt>なぜいきるかをかんがえること</rt></ruby>",哲学,y
前からある事,tradition,前からある事,前【まえ】からある事【こと】,Society & Culture,,tradition,"<ruby class=""vocab"">前からある事<rt>まえからあること</rt></ruby>",伝統,y
全部の人で楽しくする日,festival,全部の人で楽しくする日,全部【ぜんぶ】の人【ひと】で楽【たの】しくする日【にち】,Society & Culture,,festival,"<ruby class=""vocab"">全部の人で楽しくする日<rt>ぜんぶのひとでたのしくするにち</rt></ruby>",祭り,y
人たちが前からする事,ritual / ceremony,人たちが前からする事,人【ひと】たちが前【まえ】からする事【こと】,Society & Culture,,ritual / ceremony,"<ruby class=""vocab"">人たちが前からする事<rt>ひとたちがまえからすること</rt></ruby>",儀式,y
男と女が家の人になること,marriage,男と女が家の人になること,男【おとこ】と女【おんな】が家【いえ】の人【ひと】になること,Society & Culture,,marriage,"<ruby class=""vocab"">男と女が家の人になること<rt>おとことおんながいえのひとになること</rt></ruby>",結婚,y
死んだ人のためにする事,funeral,死んだ人のためにする事,死【し】んだ人【ひと】のためにする事【こと】,Society & Culture,,funeral,"<ruby class=""vocab"">死んだ人のためにする事<rt>しんだひとのためにすること</rt></ruby>",葬式,y
悪いことが起こった事,incident / case,悪いことが起こった事,悪【わる】いことが起【お】こった事【こと】,Society & Culture,,incident / case,"<ruby class=""vocab"">悪いことが起こった事<rt>わるいことがおこったこと</rt></ruby>",事件,y
思わないで悪いことが起こること,accident,思わないで悪いことが起こること,思【おも】わないで悪【わる】いことが起【お】こること,Society & Culture,,accident,"<ruby class=""vocab"">思わないで悪いことが起こること<rt>おもわないでわるいことがおこること</rt></ruby>",事故,y
人がしてはいけない悪いこと,crime,人がしてはいけない悪いこと,人【ひと】がしてはいけない悪【わる】いこと,Society & Culture,,crime,"<ruby class=""vocab"">人がしてはいけない悪いこと<rt>ひとがしてはいけないわるいこと</rt></ruby>",犯罪,y
悪いことをしたかどうかを人が言うこと,trial / court,悪いことをしたかどうかを人が言うこと,悪【わる】いことをしたかどうかを人【ひと】が言【い】うこと,Society & Culture,,trial / court,"<ruby class=""vocab"">悪いことをしたかどうかを人が言うこと<rt>わるいことをしたかどうかをひとがいうこと</rt></ruby>",裁判,y
悪いことをした人に与える悪いこと,punishment / penalty,悪いことをした人に与える悪いこと,悪【わる】いことをした人【ひと】に与【あた】える悪【わる】いこと,Society & Culture,,punishment / penalty,"<ruby class=""vocab"">悪いことをした人に与える悪いこと<rt>わるいことをしたひとにあたえるわるいこと</rt></ruby>",刑罰,y
毎日の事が書いてある本,newspaper,毎日の事が書いてある本,毎【まい】日【にち】の事【こと】が書【か】いてある本【ほん】,Society & Culture,,newspaper,"<ruby class=""vocab"">毎日の事が書いてある本<rt>まいにちのことがかいてあるほん</rt></ruby>",新聞,y
多くの人に音や光で言葉を出すこと,broadcast,多くの人に音や光で言葉を出すこと,多【おお】くの人【ひと】に音【おと】や光【ひかり】で言葉【ことば】を出【だ】すこと,Society & Culture,,broadcast,"<ruby class=""vocab"">多くの人に音や光で言葉を出すこと<rt>おおくのひとにおとやひかりでことばをだすこと</rt></ruby>",放送,y
物を買ってほしいと言うこと,advertisement,物を買ってほしいと言うこと,物【もの】を買【か】ってほしいと言【い】うこと,Society & Culture,,advertisement,"<ruby class=""vocab"">物を買ってほしいと言うこと<rt>ものをかってほしいということ</rt></ruby>",広告,y
人に知らせること,information,人に知らせること,人【ひと】に知【し】らせること,Society & Culture,,information,"<ruby class=""vocab"">人に知らせること<rt>ひとにしらせること</rt></ruby>",情報,y
人に言葉を出すこと,communication,人に言葉を出すこと,人【ひと】に言葉【ことば】を出【だ】すこと,Society & Culture,,communication,"<ruby class=""vocab"">人に言葉を出すこと<rt>ひとにことばをだすこと</rt></ruby>",通信,y
物を作るための知ること,technology,物を作るための知ること,物【もの】を作【つく】るための知【し】ること,Society & Culture,,technology,"<ruby class=""vocab"">物を作るための知ること<rt>ものをつくるためのしること</rt></ruby>",技術,y
多くの物を作ること,industry,多くの物を作ること,多【おお】くの物【もの】を作【つく】ること,Society & Culture,,industry,"<ruby class=""vocab"">多くの物を作ること<rt>おおくのものをつくること</rt></ruby>",産業,y
国と国で物を買ったり与えたりすること,trade / commerce,国と国で物を買ったり与えたりすること,国【くに】と国【くに】で物【もの】を買【か】ったり与【あた】えたりすること,Society & Culture,,trade / commerce,"<ruby class=""vocab"">国と国で物を買ったり与えたりすること<rt>くにとくにでものをかったりあたえたりすること</rt></ruby>",貿易,y
人の外にある水や風や土,environment,人の外にある水や風や土,人【ひと】の外【そと】にある水【みず】や風【かぜ】や土【つち】,Society & Culture,,environment,"<ruby class=""vocab"">人の外にある水や風や土<rt>ひとのそとにあるみずやかぜやつち</rt></ruby>",環境,y
水や風が悪くなること,pollution / contamination,水や風が悪くなること,水【みず】や風【かぜ】が悪【わる】くなること,Society & Culture,,pollution / contamination,"<ruby class=""vocab"">水や風が悪くなること<rt>みずやかぜがわるくなること</rt></ruby>",汚染,y
人が使える物,resources,人が使える物,人【ひと】が使【つか】える物【もの】,Society & Culture,,resources,"<ruby class=""vocab"">人が使える物<rt>ひとがつかえるもの</rt></ruby>",資源,y
その所にいる人の多さ,population,その所にいる人の多さ,その所【ところ】にいる人【ひと】の多【おお】さ,Society & Culture,,population,"<ruby class=""vocab"">その所にいる人の多さ<rt>そのところにいるひとのおおさ</rt></ruby>",人口,y
ある人を他の人より悪くすること,discrimination,ある人を他の人より悪くすること,ある人【ひと】を他【ほか】の人【ひと】より悪【わる】くすること,Society & Culture,,discrimination,"<ruby class=""vocab"">ある人を他の人より悪くすること<rt>あるひとをほかのひとよりわるくすること</rt></ruby>",差別,y
全部の人が良いとすること,equality,全部の人が良いとすること,全部【ぜんぶ】の人【ひと】が良【よ】いとすること,Society & Culture,,equality,"<ruby class=""vocab"">全部の人が良いとすること<rt>ぜんぶのひとがよいとすること</rt></ruby>",平等,y
全部の人が国のことを選べること,democracy,全部の人が国のことを選べること,全部【ぜんぶ】の人【ひと】が国【くに】のことを選【えら】べること,Society & Culture,,democracy,"<ruby class=""vocab"">全部の人が国のことを選べること<rt>ぜんぶのひとがくにのことをえらべること</rt></ruby>",民主主義,y
国のやることを大きく変えること,revolution,国のやることを大きく変えること,国【くに】のやることを大【おお】きく変【か】えること,Society & Culture,,revolution,"<ruby class=""vocab"">国のやることを大きく変えること<rt>くにのやることをおおきくかえること</rt></ruby>",革命,y
他の国が持っている所,colony,他の国が持っている所,他【ほか】の国【くに】が持【も】っている所【ところ】,Society & Culture,,colony,"<ruby class=""vocab"">他の国が持っている所<rt>ほかのくにがもっているところ</rt></ruby>",植民地,y
他の国に行ってそこにいる人,immigrant / migration,他の国に行ってそこにいる人,他【ほか】の国【くに】に行【い】ってそこにいる人【ひと】,Society & Culture,,immigrant / migration,"<ruby class=""vocab"">他の国に行ってそこにいる人<rt>ほかのくににいってそこにいるひと</rt></ruby>",移民,y
怖いので国から出た人,refugee,怖いので国から出た人,怖【こわ】いので国【くに】から出【で】た人【ひと】,Society & Culture,,refugee,"<ruby class=""vocab"">怖いので国から出た人<rt>こわいのでくにからでたひと</rt></ruby>",難民,y
